name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
7-Eleven,-34.061688,150.8097126,"7-Eleven, Blaxland Road, Campbelltown, Sydney, Campbelltown City Council, New South Wales, 2560, Australia",,,,,,
Jack's Prestige Car Wash & Cafe,-33.8125078,151.1722592,"Jack's Prestige Car Wash & Cafe, Lane Cove Tunnel, Gore Hill, Lane Cove, Lower North Shore, Sydney, Lane Cove Municipal Council, New South Wales, 2064, Australia",,,,,,
"Unnamed (-33.8065, 151.0871)",-33.8065112,151.0871429,"Chatham Road, West Ryde, Sydney, Council of the City of Ryde, New South Wales, 2114, Australia",,,,,Budget,
Maxi Shine,-33.6220569,150.8363102,"Maxi Shine, Windsor - Parramatta Cycleway, Mulgrave, Sydney, Hawkesbury City Council, New South Wales, 2765, Australia",,,,,,
Green Car Hand Car Wash and Cafe,-33.8924901,151.0661296,"Angophora Grove, Greenacre, Sydney, Canterbury-Bankstown Council, New South Wales, 2190, Australia",,,,,,
IMO Car Wash,-33.7664051,150.8174862,"Carlisle Avenue, Mount Druitt, Sydney, Blacktown City Council, New South Wales, 2770, Australia",,,,,,IMO Car Wash
IMO Car Wash,-33.7648421,150.8250198,"Luxford Road, Mount Druitt, Sydney, Blacktown City Council, New South Wales, 2770, Australia",,,,,,
Dee Why RSL Car Wash,-33.7447899,151.2945234,"Dee Why RSL Car Wash, 825, Pittwater Road, Collaroy, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2097, Australia",https://www.deewhyrsl.com.au/AboutUs/carwash.html,,,Mo-Su 07:00-21:45,,
Foam and Froth Car Wash,-33.8070185,151.071812,"Foam and Froth Car Wash, 1206, Victoria Road, Melrose Park, Sydney, Council of the City of Ryde, New South Wales, 2114, Australia",,,,,,
Green Car Hand Car Wash and Cafe,-33.8864885,151.0665408,"Green Car Hand Car Wash and Cafe, Hume Highway, Greenacre, Sydney, Canterbury-Bankstown Council, New South Wales, 2190, Australia",,,,,,
"Unnamed (-33.7617, 151.2071)",-33.761653,151.2070983,"Warringah Road, Forestville, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2087, Australia",,,,,,
Car Wash Cafe,-33.824188,151.238746,"Car Wash Cafe, Military Road, Spit Junction, Mosman, Lower North Shore, Sydney, Mosman Municipal Council, New South Wales, 2088, Australia",,,,,,
Jimmy's Hand Car Wash,-33.7527396,150.6914417,"Jimmy's Hand Car Wash, Union Lane, Thornton, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",,,,,,
IMO Car Wash,-34.0487406,150.7561556,"Raintree Way, Mount Annan, Sydney, Camden Council, New South Wales, 2567, Australia",,,,,,
Prime Shine Car Wash & Cafe,-33.7691545,151.0320622,"North Rocks Road, Murray Farm, Carlingford, Sydney, City of Parramatta Council, New South Wales, 2118, Australia",,,,,,
Crystal Car Wash,-33.8341031,150.9918621,"Crystal Car Wash, Pitt Street, Merrylands, Sydney, Cumberland City Council, New South Wales, 2160, Australia",,,,,,
"Unnamed (-33.7518, 150.9152)",-33.7517814,150.9151904,"Sunnyholt Road, Kings Park, Sydney, Blacktown City Council, New South Wales, 2148, Australia",,,,,,
CarSpa,-33.724553,150.9390329,"CarSpa, Old Windsor Road, Glenwood, Sydney, Blacktown City Council, New South Wales, 2768, Australia",,,,,,
