name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
Superpower Car Wash,-37.8461133,145.2266006,"Ashley Street, Wantirna, Melbourne, City of Knox, Victoria, 3152, Australia",,,,,,
"Unnamed (-38.1127, 145.1560)",-38.112741,145.155967,"Seaford Road, Seaford, Melbourne, City of Frankston, Victoria, 3198, Australia",,,,,,
"Unnamed (-38.1407, 145.1228)",-38.1406944,145.1227832,"Shell, Beach Street, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia",,,,,,
"Unnamed (-38.1655, 145.1377)",-38.1654554,145.1377187,"BP, 4, Golf Links Road, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia",,,,,,
"Unnamed (-38.1542, 145.1638)",-38.1541823,145.1637837,"7-Eleven, Cranbourne Road, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia",,,,,,
"Unnamed (-38.0966, 145.1759)",-38.09657,145.175944,"2, William Road, Carrum Downs, Melbourne, City of Frankston, Victoria, 3201, Australia",,,,,,
Clean Maker,-37.879855,145.2670552,"Clean Maker, 736, Burwood Highway, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia",,,,,,
"Unnamed (-37.9875, 145.1142)",-37.9875445,145.1141774,"Lower Dandenong Road, Braeside, Melbourne, City of Kingston, Victoria, 3195, Australia",,,,,,
"Unnamed (-37.9898, 145.1408)",-37.9897765,145.1407817,"Shell, Centre Dandenong Road, Dingley Village, Melbourne, City of Kingston, Victoria, 3172, Australia",,,,,,
Car Wash,-38.0688284,145.1411461,"United, Thompson Road, Patterson Lakes, Melbourne, City of Kingston, Victoria, 3197, Australia",,,,,,
"Unnamed (-38.1462, 145.1364)",-38.1461544,145.1364272,"McMahons Road, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia",,,,,,
"Unnamed (-37.8522, 145.1517)",-37.8522066,145.1517425,"BP, Blackburn Road, Burwood East, Melbourne, City of Whitehorse, Victoria, 3151, Australia",,,,,,
"Unnamed (-37.8519, 145.1516)",-37.8518952,145.1515879,"Blackburn Road, Burwood East, Melbourne, City of Whitehorse, Victoria, 3151, Australia",,,,,,
"Unnamed (-37.9572, 145.0510)",-37.9571619,145.0509956,"Nepean Highway, Highett, Melbourne, City of Kingston, Victoria, 3192, Australia",,,,,,
"Unnamed (-37.7961, 144.7902)",-37.7960991,144.7902125,"Shell, The Avenue, Sunshine West, Melbourne, City of Brimbank, Victoria, 3020, Australia",,,,,,
"Unnamed (-38.1413, 145.1763)",-38.1412789,145.176282,"Duiker Court, Langwarrin, Melbourne, City of Frankston, Victoria, 3910, Australia",,,,,,
"Unnamed (-37.8277, 144.9575)",-37.8277076,144.9575053,"Blakeney Place, Southbank, Melbourne, City of Melbourne, Victoria, 3006, Australia",,,,,,
"Unnamed (-37.9078, 145.0746)",-37.9078421,145.0745613,"Poath Road, Hughesdale, Melbourne, City of Monash, Victoria, 3163, Australia",,,,,,
"Unnamed (-37.9864, 145.1463)",-37.9863981,145.1462865,"EG Australia, 747, Springvale Road, Keysborough, Melbourne, City of Greater Dandenong, Victoria, 3173, Australia",,,,,,
"Unnamed (-37.8261, 145.0000)",-37.826113,145.0000036,"Swan Street, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia",,,,,,
"Unnamed (-37.9031, 145.1621)",-37.9031305,145.1621377,"Ferntree Gully Road, Glen Waverley, Melbourne, City of Monash, Victoria, 3150, Australia",,,,,,
"Unnamed (-38.0837, 145.2948)",-38.0837456,145.2948179,"Alamanda Way, Cranbourne North, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
Envirocare Car & Dog Wash Berwick,-38.0392803,145.3429551,"Envirocare Car & Dog Wash Berwick, 55, Clyde Road, Berwick, Melbourne, City of Casey, Victoria, 3806, Australia",,,,,,
"Unnamed (-37.7999, 145.2789)",-37.7998667,145.2788631,"Lusher Road, Croydon, Melbourne, City of Maroondah, Victoria, 3136, Australia",,,,,,
Softwash,-38.0303605,145.2811293,"Softwash, Shrives Road, Hampton Park, Melbourne, City of Casey, Victoria, 3976, Australia",,,,,,
"Unnamed (-37.7905, 145.1706)",-37.790523,145.1705971,"Tunstall Square, Doncaster East, Melbourne, City of Manningham, Victoria, 3109, Australia",,,,,,
Magic Hand Car Wash Heatmont,-37.8294276,145.2446605,"Magic Hand Car Wash Heatmont, Heathmont Rail Trail, Heathmont, Melbourne, City of Maroondah, Victoria, 3135, Australia",,,,,,
Magic Hand Car Wash,-37.8882131,145.2911255,"Magic Hand Car Wash, 1021, Burwood Highway, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia",https://www.magichcw.com.au,,,Mo-Su 07:30-18:00,,
"Unnamed (-37.6864, 144.8832)",-37.686385,144.8832074,"Mickleham Road, Gladstone Park, Melbourne, City of Hume, Victoria, 3043, Australia",,,,,,
"Unnamed (-38.0024, 145.2458)",-38.0023969,145.2458187,"Olive Road, Eumemmerring, Melbourne, City of Casey, Victoria, 3177, Australia",,,,,,
Car Wash & Dog Wash,-37.9229395,145.0822132,"Car Wash & Dog Wash, Warrigal Road, Bentleigh East, Melbourne, City of Glen Eira, Victoria, 3165, Australia",,,,,,
IMO Car Wash,-37.9236674,145.0821401,"IMO Car Wash, Centre Road, Bentleigh East, Melbourne, City of Glen Eira, Victoria, 3165, Australia",,,,,,IMO Car Wash
"Unnamed (-37.8405, 145.2684)",-37.8405044,145.2683919,"Jim Abernethy Memorial Drive, Bayswater, Melbourne, City of Knox, Victoria, 3153, Australia",,,,,,
Wash N Go,-37.882118,145.2967696,"Wash N Go, 47, Forest Road, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia",,,,,,
"Unnamed (-37.8319, 145.2688)",-37.8318979,145.2687527,"Bayswater Road, Bayswater North, Melbourne, City of Maroondah, Victoria, 3153, Australia",,,,,,
"Unnamed (-38.1945, 145.1493)",-38.1944701,145.1493342,"Ampol, Frankston-Flinders Road, Baxter, Melbourne, Shire of Mornington Peninsula, Victoria, 3911, Australia",,,,,,
Autowash,-37.7490878,144.7779057,"United, 283-285, Station Road, Albanvale, Melbourne, City of Brimbank, Victoria, 3021, Australia",,,,,,
Uwash,-37.7490036,144.7779422,"United, 283-285, Station Road, Albanvale, Melbourne, City of Brimbank, Victoria, 3021, Australia",,,,,,
"Unnamed (-37.8362, 145.1886)",-37.8361859,145.1885634,"Rooks Road, Vermont, Melbourne, City of Whitehorse, Victoria, 3133, Australia",,,,,,
Carwash and Kebabs,-38.1944943,145.1478371,"Carwash and Kebabs, Sages Road, Baxter, Melbourne, Shire of Mornington Peninsula, Victoria, 3911, Australia",,,,,,
"Unnamed (-37.8868, 144.7557)",-37.8868104,144.7556624,"BP, 144e-144f, Point Cook Road, Seabrook, Melbourne, City of Hobsons Bay, Victoria, 3028, Australia",,,,,,
"Unnamed (-37.8866, 144.7556)",-37.8865572,144.7556257,"BP, 144e-144f, Point Cook Road, Seabrook, Melbourne, City of Hobsons Bay, Victoria, 3028, Australia",,,,,,
AUZ Car Wash,-37.8981255,145.2323756,"AUZ Car Wash, 758, Stud Road, Scoresby, Melbourne, City of Knox, Victoria, 3179, Australia",,,,,,
"Unnamed (-38.1123, 145.1593)",-38.1123006,145.159321,"Ballarto Road, Carrum Downs, Melbourne, City of Frankston, Victoria, 3201, Australia",,,,,,
Carlovers,-37.9869295,145.1087283,"Carlovers, Lower Dandenong Road, Mordialloc, Melbourne, City of Kingston, Victoria, 3195, Australia",,,,,,
Shiners Jet Wash,-37.7439543,144.9943108,"504-506, Bell Street, Preston, Melbourne, City of Darebin, Victoria, 3072, Australia",,,,,,
Wash,-37.6967642,144.7756461,"Wash, Watergardens Circuit Road, Taylors Lakes, Melbourne, City of Brimbank, Victoria, 3038, Australia",,,,,,Wash
Sparkling Carwash,-37.8540467,145.1584627,"Sparkling Carwash, Syndal Heatherdale Pipe Reserve Trail, Burwood East, Melbourne, City of Whitehorse, Victoria, 3151, Australia",,,,,,
Magic Hand Car Wash,-37.8044611,144.9916112,"Magic Hand Car Wash, 2, Hood Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",http://www.mhcw.com.au/,,,,,
Bubbles Car Wash,-37.6852736,145.0126556,"Bubbles Car Wash, Newton Street, Thomastown, Melbourne, City of Whittlesea, Victoria, 3074, Australia",,,,,,
Detailers Depot Car Wash,-37.874982,144.7382752,"United, 1, Wallace Avenue, Point Cook, Melbourne, City of Wyndham, Victoria, 3030, Australia",,,,,,
"Unnamed (-37.8774, 144.7133)",-37.8774352,144.7133381,"Old Geelong Road, Hoppers Crossing, Melbourne, City of Wyndham, Victoria, 3029, Australia",,,,,,
Ezy Bay Wash,-37.9559666,145.0417556,"Ezy Bay Wash, Graham Road, Highett, Melbourne, City of Bayside, Victoria, 3190, Australia",,,,24/7,,
"Unnamed (-37.9908, 145.1490)",-37.9908023,145.1489969,"Carson Avenue, Keysborough, Melbourne, City of Greater Dandenong, Victoria, 3173, Australia",,,,,,
"Unnamed (28.0637, -80.6221)",28.063654,-80.6220793,"Florida Institute of Technology, South Babcock Street, Melbourne, Brevard County, Florida, 32901, United States",,,,,,
Magic Hand Carwash,-37.7021892,144.8011299,"Magic Hand Carwash, 1A, Melton Highway, Taylors Lakes, Melbourne, City of Brimbank, Victoria, 3038, Australia",http://www.mhcw.com.au/locations/?lst=3038,,,,,
Wash 'N' Vac,-37.7022492,145.0839387,"300, Grimshaw Street, Watsonia North, Melbourne, City of Banyule, Victoria, 3087, Australia",,,,,,
Car Wash,-37.7372152,145.0126804,"Select 7, Plenty Road, Preston, Melbourne, City of Darebin, Victoria, 3072, Australia",,,,,,
Magic Hand Carwash,-37.8096331,144.9501561,"Magic Hand Carwash, 438, Spencer Street, West Melbourne, Melbourne, City of Melbourne, Victoria, 3003, Australia",https://magichcw.com.au,,,,,
Wash 'n Glo,-38.1595149,145.1892757,"Wash 'n Glo, Warrandyte Road, Langwarrin, Melbourne, City of Frankston, Victoria, 3910, Australia",,,,Mo-Su 07:00-20:00,,
Clean Bay Car Wash,-37.7302911,144.9242885,"Clean Bay Car Wash, Pascoe Vale Road, Strathmore, Melbourne, City of Moonee Valley, Victoria, 3041, Australia",,,,,,
"Unnamed (-37.7304, 144.9246)",-37.7304394,144.9246397,"Moonee Ponds Creek Trail, Strathmore, Melbourne, City of Moonee Valley, Victoria, 3041, Australia",,,,,,
"Unnamed (-37.8122, 145.2412)",-37.8121692,145.2412064,"Mount Dandenong Road, Ringwood East, Melbourne, City of Maroondah, Victoria, 3135, Australia",,,,,,
Pressure Hose Wash,-38.0852258,145.2947334,"Pressure Hose Wash, Narre Warren Road, Cranbourne East, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
"Unnamed (-37.6967, 144.7823)",-37.6967276,144.7822834,"Shell, Melton Highway, Taylors Lakes, Melbourne, City of Brimbank, Victoria, 3038, Australia",,,,,,
"Unnamed (-37.6977, 144.7800)",-37.6977422,144.7800491,"Watergardens Town Centre, 399, Melton Highway, Taylors Lakes, Melbourne, City of Brimbank, Victoria, 3038, Australia",,,,,,
"Unnamed (-37.8233, 144.8239)",-37.8232934,144.8239003,"2, Little Boundary Road, Laverton North, Melbourne, City of Wyndham, Victoria, 3026, Australia",,,,,,
"Unnamed (-37.8479, 144.6875)",-37.8478596,144.6875486,"Caltex Tarneit, 409, Derrimut Road, Tarneit, Melbourne, City of Wyndham, Victoria, 3029, Australia",,,,,,
"Unnamed (-37.7968, 145.1801)",-37.7967801,145.1801271,"Mitcham Road, Donvale, Melbourne, City of Manningham, Victoria, 3111, Australia",,,,,,
Car Wash,-37.7195492,145.0364436,"2, Browning Street, Kingsbury South Retail Precinct, Kingsbury, Melbourne, City of Darebin, Victoria, 3083, Australia",,,,,BP Kingsbury,
"Unnamed (-38.2329, 145.0397)",-38.2329244,145.0396813,"Nepean Highway, Mornington, Melbourne, Shire of Mornington Peninsula, Victoria, 3931, Australia",,,,,,
