Name,Address,Website,Plus-code,lat,lon
Zippy's Carwash,"200 Main N Rd, Prospect SA 5082, Australia ",http://www.zippyscarwash.com.au/content/location,"4J92+9V Prospect, South Australia, Australia",-34.881504,138.602157
CARWASH KING - Gilles Plains,"605 North East Road, Gilles Plains SA 5086, Australia ",http://www.carwashking.com.au/,"4MW5+2R Gilles Plains, South Australia, Australia",-34.8549348,138.6595212
Grand Junction Car Wash,"554 Main N Rd, Blair Athol SA 5084, Australia ",,"5H2X+6X Blair Athol, South Australia, Australia",-34.8494942,138.5999018
Aqua Hand Car Wash & Detailing,"22-26 Main N Rd, Prospect SA 5082, Australia ",http://www.aquacarwash.com.au/,"4J32+H2 Prospect, South Australia, Australia",-34.8960391,138.600118
CARWASH KING - Frewville,"231 Glen Osmond Rd, Frewville SA 5063, Australia ",http://www.carwashking.com.au/,"3J2J+77 Frewville, South Australia, Australia",-34.9492536,138.6306829
Big Bucket Car Wash,"LOT 13 Lawrence Hargrave Way, Parafield SA 5106, Australia ",http://www.bigbucketcarwash.com.au/,"6J5W+62 Parafield, South Australia, Australia",-34.7919682,138.6450804
Ultimate Xpress,"121 West Terrace, Adelaide SA 5000, Australia ",http://www.ultimatexpress.com.au/,"3H9Q+J9 Adelaide, South Australia, Australia",-34.9309027,138.5884796
Smiley Car Wash Clarence Gardens,"877 South Rd, Clarence Gardens SA 5039, Australia ",https://smileycarwash.com.au/,"2HGF+MF Clarence Gardens, South Australia, Australia",-34.9733296,138.5737157
Smiley Car Wash Somerton Park,"242 Brighton Rd, Somerton Park SA 5044, Australia ",https://smileycarwash.com.au/somerton/,"2G2C+GQ Somerton Park, South Australia, Australia",-34.9987334,138.5219789
Port Car Wash,"242 Port Rd, Alberton SA 5014, Australia ",,"4GW6+93 Alberton, South Australia, Australia",-34.854119,138.5101754
Elizabeth Car Wash,"50 Elizabeth Way Shop CP001, Elizabeth SA 5112, Australia ",,"7MM9+XW Elizabeth, South Australia, Australia",-34.7150822,138.6698689
Flufferz carwash,"273 North East Road, Hampstead Gardens SA 5086, Australia ",https://fluffercarwash.com.au/,"4JGM+94 Hampstead Gardens, South Australia, Australia",-34.8740291,138.6327742
West Hand Car Wash & Detailing - Harbour Town,"Harbour Town Shopping Centre, 727 Tapleys Hill Rd, Adelaide Airport SA 5950, Australia ",https://waveshcw.com.au/,"3G39+JC Adelaide Airport, South Australia, Australia",-34.945951,138.5185681
Bubbles car wash and cafe,"273 North East Road, Hampstead Gardens SA 5086, Australia ",http://www.bubblescarwashcafe.com.au/,,-34.8739935,138.6327603
AUSWASH Car Wash and Detailing,"287 North East Road, Hampstead Gardens SA 5086, Australia ",https://auswash.com.au/,"4JGM+PJ Hampstead Gardens, South Australia, Australia",-34.8732275,138.6340716
Paul's Car Wash,"183 Main N Rd, Nailsworth SA 5083, Australia ",http://www.paulscarwash.com.au/,"4J93+95 Nailsworth, South Australia, Australia",-34.8815021,138.6029911
Adelaide Mobile Detailing,"Rundle Mall, Adelaide SA 5000, Australia ",https://www.adelaidemobiledetailing.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8365517925256593918,"3JG3+V2 Adelaide, South Australia, Australia",-34.9228403,138.6025388
Happy Wash South Plympton,"501-503 Marion Rd, South Plympton SA 5038, Australia ",https://www.otr.com.au/locations/south-plympton--503-marion-road/south-plympton-drive-thru/,"2HG4+P8 South Plympton, South Australia, Australia",-34.9732152,138.5557656
KD Auto Detailing Adelaide - Ceramic Coating Specialist - Paint Protection & Window Tint,"Gilles Plains SA 5086, Australia ",https://www.kdautodetailingadelaide.com.au/,,-34.8460203,138.6659542
Splash Car Wash & Detailing,"395 Glen Osmond Rd, Glen Osmond SA 5064, Australia ",https://www.splashcarwash.com.au/,,-34.9616733,138.6431589
Elizabeth Car Wash,"50 Elizabeth Way Shop CP001, Elizabeth SA 5112, Australia ",,"7MM9+XW Elizabeth, South Australia, Australia",-34.7150822,138.6698689
Shine Car Spa,"286 Fullarton Rd, Fullarton SA 5063, Australia ",https://shinecarspa.com.au/,,-34.9482911,138.6255364
The Wash,"255 Unley Rd, Malvern SA 5061, Australia ",http://www.thewash.com.au/,"2JV5+97 Malvern, South Australia, Australia",-34.9565276,138.6081748
ULTIMATE XPRESS,"Unit 2/114 Magill Rd, Norwood SA 5067, Australia ",https://www.ultimatexpress.com.au/,"3JMJ+P7 Norwood, South Australia, Australia",-34.915673,138.6306547
Cargroomers Magill/Adelaide Hills,"21a Davies Ave, Tranmere SA 5073, Australia ",https://www.cargroomersmagillhills.com.au/?utm_source=gmb&utm_medium=referral,"4M27+V8 Tranmere, South Australia, Australia",-34.8978135,138.6633086
WoWo Washing,"181 Anzac Hwy, Kurralta Park SA 5037, Australia ",https://wowowashing.com/,"2HV7+2C Kurralta Park, South Australia, Australia",-34.9574364,138.5635685
HappyWash Clarence Park,"338/346 Goodwood Rd, Clarence Park SA 5034, Australia ",https://www.otr.com.au/happywash-car-wash/,"2HMR+M5 Clarence Park, South Australia, Australia",-34.9658039,138.5903864
Wash on Grange,"138 Grange Rd, Flinders Park SA 5025, Australia ",http://www.washongrange.com.au/,"3HW3+56 Flinders Park, South Australia, Australia",-34.9045736,138.5530857
CARWASH KING - Glynde,"410 Payneham Rd, Glynde SA 5070, Australia ",http://www.carwashking.com.au/,"4J4X+Q8 Glynde, South Australia, Australia",-34.8930576,138.6483089
Speed Car Wash,"400 Churchill Rd, Kilburn SA 5084, Australia ",,"4HMM+98 Kilburn, South Australia, Australia",-34.8665524,138.5832713
The Wash Glenelg,"Rooftop/22 Gordon St, Glenelg SA 5045, Australia ",http://www.thewash.com.au/,"2GC9+HV Glenelg, South Australia, Australia",-34.9785174,138.5197318
Goody's Car Wash,"1086 South Rd, Edwardstown SA 5039, Australia ",https://www.goodyscarwash.au/,"2H5F+RQ Edwardstown, South Australia, Australia",-34.9903793,138.5744628
The Stables Car & Motorbike Detailing Adelaide,"101 Morphett Rd, Morphettville SA 5043, Australia ",https://thestables.au/,"2G8Q+RF Morphettville, South Australia, Australia",-34.9828984,138.5386639
AAVC ADELAIDE,"11 High St, South Brighton SA 5048, Australia ",http://www.automotiveartistry.com.au/,"XGFG+2M South Brighton, South Australia, Australia",-35.0274269,138.5267284
Elite Car Detailers,"11 Rosemary St, Woodville West SA 5011, Australia ",https://www.elitecardetailers.com.au/,"4G7H+MG Woodville West, South Australia, Australia",-34.8857868,138.528844
Adelaide Car Detailing Experts,"58 Australian Ave, Clovelly Park SA 5042, Australia ",http://adelaidecardetailingexperts.com.au/,"2H29+C9 Clovelly Park, South Australia, Australia",-34.9988967,138.5684842
KD Auto Detailing Adelaide - Ceramic Coating Specialist - Paint Protection & Window Tint,"Gilles Plains SA 5086, Australia ",https://www.kdautodetailingadelaide.com.au/,"5M38+H9 Gilles Plains, South Australia, Australia",-34.8460203,138.6659542
HappyWash Pultney Street,"281/305 Pulteney St, Adelaide SA 5000, Australia ",https://www.otr.com.au/locations/adelaide-139-angas-st-pulteney-st/otr-adelaide/,"3J94+V6 Adelaide, South Australia, Australia",-34.9302938,138.6056148
Next Level Detailing,"6 Nelson St, Stepney SA 5069, Australia ",https://nextleveldetailing.com.au/,"3JPJ+59 Stepney, South Australia, Australia",-34.9146243,138.6309998
Munno Para Car Wash,"600 Main N Rd, Smithfield SA 5114, Australia ",,"8M7R+47 Smithfield, South Australia, Australia",-34.6871834,138.6906391
HappyWash West Beach,"89 Military Rd, West Beach SA 5024, Australia ",https://www.otr.com.au/locations/west-beach-89-military-road/bp-west-beach/,"3G72+2H West Beach, South Australia, Australia",-34.9373926,138.5014159
In N Out Car Wash,"31 Grassmere Rd, Prospect SA 5082, Australia ",https://innoutcarwash.com.au/,"4JG2+88 Prospect, South Australia, Australia",-34.8742234,138.600873
Best Wash And Detailing,"388 Main N Rd, Blair Athol SA 5084, Australia ",,"4JP2+Q8 Blair Athol, South Australia, Australia",-34.8630748,138.600825
Five Star Mobile Detailing,"337 Whites road 264 main n rd prospect, Paralowie SA 5108, Australia ",http://fivestarmobiledetailing.com.au/,"5JR8+27 Paralowie, South Australia, Australia",-34.8099387,138.615716
The Quick Carwash,"1145 North East Road, Ridgehaven SA 5097, Australia ",,"5PG5+GV Ridgehaven, South Australia, Australia",-34.8236878,138.7096335
HappyWash Woodville Park,"81 David Terrace, Woodville Park SA 5011, Australia ",https://www.otr.com.au/locations/woodville-park--81-david-tce/bp-woodville-park/,"4G9X+GR Woodville Park, South Australia, Australia",-34.8811701,138.54962
Detailing Adelaide,"Unit 5/47-49 Elizabeth St, Norwood SA 5067, Australia ",https://www.detailingadelaide.com.au/,"3JFH+HR Norwood, South Australia, Australia",-34.9260261,138.6295026
Time2Shine Hand Car Wash,"460-470 Torrens Rd, Kilkenny SA 5009, Australia ",http://www.time2shine.net.au/,"4GFX+MW Kilkenny, South Australia, Australia",-34.8757556,138.5497573
Star Car Wash - Westfield Marion,"Westfield, 297 Diagonal Rd, Oaklands Park SA 5046, Australia ",https://www.starcarwash.com.au/centres/westfield-marion/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"XGMW+2Q Oaklands Park, South Australia, Australia",-35.0173972,138.5469616
Reflections Car Detail,"1A Halifax St, Hilton SA 5033, Australia ",https://reflectionscardetail.com.au/,"3H97+9V Hilton, South Australia, Australia",-34.9315875,138.5647383
Pro Wash,"Golden Grove SA 5125, Australia ",,"6M5R+5G Golden Grove, South Australia, Australia",-34.7920187,138.6912651
Brickworks Hand Car Wash & Detailing,"Unit 6/2 Ashwin Parade, Torrensville SA 5031, Australia ",https://www.facebook.com/touchnglowcarwash/,"3HP6+QR Torrensville, South Australia, Australia",-34.9130201,138.5620748
HappyWash Flinders Park,"148 Grange Rd, Flinders Park SA 5025, Australia ",https://www.otr.com.au/happywash-car-wash/,"3HW2+2H Flinders Park, South Australia, Australia",-34.9049159,138.551442
HappyWash Modbury,"927 North East Road, Modbury SA 5092, Australia ",https://www.otr.com.au/happywash-car-wash/,"5M8J+5G Modbury, South Australia, Australia",-34.8345536,138.6813413
Happy Wash Plympton,"279 Anzac Hwy, Plympton SA 5038, Australia ",https://www.otr.com.au/happywash-car-wash,"2HP4+M3 Plympton, South Australia, Australia",-34.9633276,138.5551339
