Name,Address,Website,Plus-code,lat,lon
Prime Hand Car Wash,"212-214 Parramatta Rd, Auburn NSW 2144, Australia ",http://www.primecarwash.com.au/,"525M+FX Auburn, New South Wales, Australia",-33.8412835,151.0349475
10 Auburn Carwash,"Queen St &, Harrow Rd, Auburn NSW 2144, Australia ",,"42XJ+JP Auburn, New South Wales, Australia",-33.8509521,151.0317866
5 Star Nepalese Hand Car Wash and Detailing,"54 Parramatta Rd, Clyde NSW 2142, Australia ",https://www.facebook.com/5starhand-carwas,"5289+J4 Clyde, New South Wales, Australia",-33.8333935,151.0177601
Guildford Hand Car Wash,"2 Rawson Rd, Guildford NSW 2142, Australia ",,"42P5+GG Guildford, New South Wales, Australia",-33.8636255,151.0088382
Sydney Car Spa,"101 Hector St, Sefton NSW 2162, Australia ",https://www.sydneycarspa.com.au/,"4284+CV Sefton, New South Wales, Australia",-33.883908,151.007148
Lime Car Wash,"360 Park Rd, Regents Park NSW 2143, Australia ",https://limecarwash.com/,"42CF+9W Regents Park, New South Wales, Australia",-33.8790087,151.0248032
V8 Car Wash & Cafe,"90 Parramatta Rd, Lidcombe NSW 2141, Australia ",https://www.facebook.com/V8-carwash-cafe-lidcombe-260037904699840/,"5322+56 Lidcombe, New South Wales, Australia",-33.8496208,151.0505981
Queen Car Wash,"17/21 Woodville Rd, Granville NSW 2142, Australia ",,"5293+RP Granville, New South Wales, Australia",-33.8304991,151.004317
Star Car Wash - Lidcombe Shopping Centre,"Lidcombe Shopping Centre, 92 Parramatta Rd, Lidcombe NSW 2141, Australia ",https://www.starcarwash.com.au/centres/lidcombe/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"522X+CF Lidcombe, New South Wales, Australia",-33.8489364,151.0486946
EN ROUTE | DETAILING | PAINT CORRECTION | CERAMIC COATING | TINTING,"133 Sheffield St, Auburn NSW 2144, Australia ",https://www.by-enroute.com.au/,"5238+RW Auburn, New South Wales, Australia",-33.8454549,151.0172537
Sydney Superior Details,"31 Tooth Ave, Newington NSW 2127, Australia ",https://www.sydneysuperiordetails.com/,"5342+X6 Newington, New South Wales, Australia",-33.8425812,151.0506182
KINGZ CARWASH,"36 Church St, Parramatta NSW 2150, Australia ",,"52G3+WX Parramatta, New South Wales, Australia",-33.8226952,151.004878
Autosalon d'Elegance,"36 Percy St, Auburn NSW 2144, Australia ",http://www.autosalondelegance.com.au/,"42XQ+F8 Auburn, New South Wales, Australia",-33.8513444,151.0382635
A M G Hand Car Wash,"36 Church St, Parramatta NSW 2150, Australia ",,"52G3+WX Parramatta, New South Wales, Australia",-33.8226952,151.004878
