Name,Address,Website,Plus-code,lat,lon
Canterbury Car Wash & Cafe,"153-155 Canterbury Rd, Bankstown NSW 2200, Australia ",,"328J+CW Bankstown, New South Wales, Australia",-33.9339874,151.0323493
Xwash Plus (Let's make your car shine!),"48 Stacey St, Bankstown NSW 2200, Australia ",,"329Q+W9 Bankstown, New South Wales, Australia",-33.9301589,151.0383796
Sydney Car spa,"Speedway Petrol Station, 49 Canterbury Rd, Bankstown NSW 2200, Australia ",https://www.sydneycarspa.com.au/,"328Q+QR Bankstown, New South Wales, Australia",-33.9330024,151.0395355
Number1 Car Wash,"252 Chapel Rd, Bankstown NSW 2200, Australia ",,"32HJ+HC Bankstown, New South Wales, Australia",-33.9210058,151.0310796
Club Carwash,"Greenfield Parade, Bankstown NSW 2200, Australia ",https://www.bankstownsports.com/carwash,"32JM+4P Bankstown, New South Wales, Australia",-33.9196839,151.0343181
Star Car Wash - Bankstown Central 2 (Rickard Rd),"Bankstown Central Shopping Centre, 14 Rickard Rd, Bankstown NSW 2200, Australia ",https://www.starcarwash.com.au/centres/bankstown-2/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"32PQ+4J Bankstown, New South Wales, Australia",-33.9146637,151.0390627
Alwyn's Car Wash & Cafe,"345 Hume Hwy, Bankstown NSW 2200, Australia ",,"32VP+8G Bankstown, New South Wales, Australia",-33.9066543,151.0363616
Star Car Wash - Bankstown Central (Stacey St),"and, Bankstown Central Shopping Centre, Rooftop Car Park, North Terrace, Enter via Stacey Street, Wattle St, Bankstown NSW 2200, Australia ",https://www.starcarwash.com.au/centres/bankstown-1/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"32MR+88 Bankstown, New South Wales, Australia",-33.9166489,151.0407532
Beepz Car Wash & Cafe,"48 Stacey St, Bankstown NSW 2200, Australia ",,"329Q+X9 Bankstown, New South Wales, Australia",-33.9300774,151.0384468
Golden Hand Car Wash,"6 Brandon Ave, Bankstown NSW 2200, Australia ",,"32HJ+M7 Bankstown, New South Wales, Australia",-33.920854,151.0306559
Euro Car Wash,"Bankstown NSW 2200, Australia ",,"32VP+8G Bankstown, New South Wales, Australia",-33.9066468,151.0362683
PJ's Car Wash,"263 Edgar St, Condell Park NSW 2200, Australia ",,"3296+FX Condell Park, New South Wales, Australia",-33.931301,151.012499
Tony’s Car Wash & Detailing,"Next To Metro Service Station, Unit 6/585 Hume Hwy, Yagoona NSW 2199, Australia ",,"32V7+JJ Yagoona, New South Wales, Australia",-33.9059129,151.0140021
Billy's Carwash & Cafe,"69-71 Belmore Rd North, Punchbowl NSW 2196, Australia ",https://billyscarwashcafe.au/,"3373+2W Punchbowl, New South Wales, Australia",-33.9373931,151.0548706
Lean & Clean Carwash,"Yagoona NSW 2199, Australia ",,"32RG+VV Yagoona, New South Wales, Australia",-33.9078357,151.0271712
