Name,Address,Website,Plus-code,lat,lon
Soak City Car Wash,"Pad Station 4, Norwest Marketown, 4 Century Cct, Baulkham Hills NSW 2153, Australia ",http://soakcity.com.au/,"7X87+JF Baulkham Hills, New South Wales, Australia",-33.7334006,150.9637413
Sparklean Hand Car Wash,"Sky City Building Carpark, Ground Floor, 20B Lexington Dr, Bella Vista NSW 2153, Australia ",http://sparkleanhandcarwash.com/,"7W7W+VG Bella Vista, New South Wales, Australia",-33.7353197,150.9463211
CARSPA Autowash Cafe,"2/1190 Old Windsor Rd, Parklea NSW 2768, Australia ",http://www.carspa.com.au/,"7WGQ+5J Parklea, New South Wales, Australia",-33.7245828,150.9390951
Five Star Hand Car Wash,"Unit 1A/2 Acres Rd, Kellyville NSW 2155, Australia ",http://www.fivestarcarwash.com.au/,"7XQ3+MX Kellyville, New South Wales, Australia",-33.7108412,150.9549619
Hills Hand Car Wash and Cafe,"60 Windsor Rd, Kellyville NSW 2155, Australia ",http://www.hillscarwash.com.au/,"7XQ4+4H Kellyville, New South Wales, Australia",-33.7122082,150.9564595
Shell,"4 Century Cct, Norwest NSW 2153, Australia ",https://find.shell.com/au/fuel/10110914-shell-reddy-express-norwest-business-park/en_AU,"7X87+HC Norwest, New South Wales, Australia",-33.7335642,150.9635499
Triple A Hand Carwash,"18 Solander Rd, Kings Langley NSW 2147, Australia ",,"6WVV+MF Kings Langley, New South Wales, Australia",-33.7558314,150.9436431
Star Car Wash - Kellyville Village,"90 Wrights Rd, Kellyville NSW 2155, Australia ",https://www.starcarwash.com.au/centres/kellyville/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"7XPC+XW Kellyville, New South Wales, Australia",-33.7125733,150.9723028
PR Automotive Detailing,"Marina Rd, Baulkham Hills NSW 2153, Australia ",https://www.facebook.com/pr.automotive.detailing?mibextid=LQQJ4d,"6XQ8+M9 Baulkham Hills, New South Wales, Australia",-33.7608525,150.9658804
The Detailing Squad - Sydney,"Kaneruka Pl, Baulkham Hills NSW 2153, Australia ",https://www.thedetailingsquad.au/,"6XW9+HJ Baulkham Hills, New South Wales, Australia",-33.7535185,150.9690949
