Name,Address,Website,Plus-code,lat,lon
GLOW CAR WASH & CAFE Bexley,"295-299 Forest Rd, Bexley NSW 2207, Australia ",,"344H+69 Bexley, New South Wales, Australia",-33.9444157,151.1284725
Wash My Ride,"71-75 Princes Hwy, Kogarah NSW 2217, Australia ",https://www.facebook.com/washmyridekogarah,"24PP+9P Kogarah, New South Wales, Australia",-33.9640808,151.1367645
Kogarah Car Wash,"Rooftop Car Park, Kogarah Town Centre, 1-9 Railway Parade, Kogarah NSW 2217, Australia ",,"24QM+73 Kogarah, New South Wales, Australia",-33.9618677,151.1327164
Pro Shine Car Wash and Detailing,"6 Princes Hwy, Kogarah NSW 2217, Australia ",,"24JP+58 Kogarah, New South Wales, Australia",-33.9695049,151.1358382
Forest Hand Carwash & Cafe,"71A Forest Rd, Hurstville NSW 2220, Australia ",,"24M6+8C Hurstville, New South Wales, Australia",-33.966717,151.111035
Spray N Go Mobile Car Wash,"Salisbury Ave, Bexley NSW 2207, Australia ",,"24XC+QX Bexley, New South Wales, Australia",-33.9505811,151.1224384
Spotless Carwash N Cafe,"1/413 Canterbury Rd, Campsie NSW 2194, Australia ",https://www.facebook.com/Spotless-Carwash-N-Cafe-1716026815392523,"34M5+C8 Campsie, New South Wales, Australia",-33.9164439,151.108292
Bright Car Wash,"Rockdale NSW 2216, Australia ",,"24RQ+VX Rockdale, New South Wales, Australia",-33.9578136,151.1399185
Royal car detailing,"6 Commercial Rd, Kingsgrove NSW 2208, Australia ",,"3462+42 Kingsgrove, New South Wales, Australia",-33.9397311,151.1000633
Nara Wash n Shine Hurstville,"309A Forest Rd, Hurstville NSW 2220, Australia ",http://www.narawashnshine.com.au/,"23MX+RQ Hurstville, New South Wales, Australia",-33.9654197,151.0994992
