Name,Address,Website,Plus-code,lat,lon
Wash 'N' Go Brendale 24/7 Car Wash,"S Pine Rd &, Kremzow Rd, Brendale QLD 4500, Australia ",http://www.washngo.com.au/,"MXJQ+H4 Brendale, Queensland, Australia",-27.3185736,152.9877699
Zoom Carwash,"119 S Pine Rd, Alderley QLD 4051, Australia ",http://zoomcarwash.com.au/,,-27.4204943,152.9998806
Zoom Carwash Holland Park,"830 Logan Rd, Holland Park QLD 4121, Australia ",http://zoomcarwash.com.au/,"F3M4+VQ Holland Park, Queensland, Australia",-27.515264,153.0569118
Suds Car Spa,"1463 Logan Rd, Mount Gravatt QLD 4122, Australia ",https://sudscarspa.com.au/,"F35J+W4 Mount Gravatt, Queensland, Australia",-27.5401671,153.0803545
THE CARWASH COMPANY,"Homemaker North Building, 650 Wickham St, Fortitude Valley QLD 4006, Australia ",http://www.thecarwashcompany.com.au/,"G2XR+W2 Fortitude Valley, Queensland, Australia",-27.4501492,153.0401052
Royal Car Wash,"661 Compton Rd Sunnybank Hills Shoppingtown, Sunnybank Hills QLD 4109, Australia ",http://www.royalcarwash.com.au/,"93Q4+P6 Sunnybank Hills, Queensland, Australia",-27.6107382,153.0556007
Hoppy's Prestige Carwash and Cafe,"179/185 Abbotsford Rd, Bowen Hills QLD 4006, Australia ",https://www.hoppysprestigecarwash.com/,"H27R+6J Bowen Hills, Queensland, Australia",-27.436995,153.0415562
Hoppy's Carwash Norman Park,"313 Wynnum Rd, Norman Park QLD 4170, Australia ",https://www.hoppyshwc.com.au/location/norman-park/,"G3H7+49 Norman Park, Queensland, Australia",-27.4721919,153.0634054
Gabba Car Spa Cafe,"728 Main St, Kangaroo Point QLD 4169, Australia ",http://www.carspacafe.com.au/,"G29P+8F Kangaroo Point, Queensland, Australia",-27.4817467,153.0361797
KARCHER CLEAN PARK ACACIA RIDGE,"1180 Beaudesert Rd, Acacia Ridge QLD 4110, Australia ",http://www.karcher-cleanpark-ar.com.au/,"C2CG+V9 Acacia Ridge, Queensland, Australia",-27.577836,153.0259597
Timeless Car Cleaning and Detailing,"3 Whimbrel St, Port of Brisbane QLD 4178, Australia ",https://timelesscarcleaning.com/,"J56C+M2 Port of Brisbane, Queensland, Australia",-27.3883318,153.1700818
