Name,Address,Website,Plus-code,lat,lon
Envirowash,"36a Cawarra Rd, Caringbah NSW 2229, Australia ",http://envirowash.net.au/,"X49G+VC Caringbah, New South Wales, Australia",-34.0302526,151.1260485
Shire Shine Car Wash & Café,"66/68 Captain Cook Dr, Caringbah NSW 2229, Australia ",,"X48F+VH Caringbah, New South Wales, Australia",-34.0328077,151.12389
Aqua Car Wash Miranda,"109 Miranda Rd S, Miranda NSW 2228, Australia ",https://aquacarwashcafe.com.au/,"X455+M8 Miranda, New South Wales, Australia",-34.0408694,151.1082583
Star Car Wash - Taren Point,"144 Taren Point Rd, Taren Point NSW 2229, Australia ",https://www.starcarwash.com.au/centres/taren-point/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"X4GC+PJ Taren Point, New South Wales, Australia",-34.0231827,151.1216144
Snap Car Wash Woolooware (Bay Central - Level P2 Car Park),"Car Park, Level P2/453a Captain Cook Dr, Woolooware NSW 2230, Australia ",https://www.snapcarwash.com.au/,"X46V+J5 Woolooware, New South Wales, Australia",-34.0384451,151.1429673
Auto Detailing Garage,"4/55-61 Willarong Rd, Caringbah NSW 2229, Australia ",http://www.autodetailinggarage.com.au/,"X49C+VQ Caringbah, New South Wales, Australia",-34.0303723,151.1218756
Exclusive Detailing,"Unit 22/3 Box Rd, Taren Point NSW 2229, Australia ",https://www.exclusivedetailingco.com/,"X4GF+8X Taren Point, New South Wales, Australia",-34.0241437,151.1249368
Soft Wash,"200 Kingsway, Woolooware NSW 2230, Australia ",,"X43M+G9 Woolooware, New South Wales, Australia",-34.0462261,151.1334366
Sunshine carwash,"Miranda NSW 2228, Australia ",,"X482+PQ Miranda, New South Wales, Australia",-34.0331901,151.101983
DETAILD Sydney,"28 Box Rd, Caringbah NSW 2229, Australia ",http://www.facebook.com/Detaildsydney,"X4FF+XQ Caringbah, New South Wales, Australia",-34.0251066,151.1244134
CRONULLA HAND CARWASH,"100 Woolooware Rd, Woolooware NSW 2230, Australia ",,"W4WR+W8 Woolooware, New South Wales, Australia",-34.052747,151.1408431
Star Car Wash - Westfield Miranda 2 (Kiora Rd),"Enter via, Westfield Miranda 600 Kingsway, Kiora Rd, Miranda NSW 2228, Australia ",https://www.starcarwash.com.au/centres/miranda-kiora/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"X472+HH Miranda, New South Wales, Australia",-34.0360313,151.1014093
The Detail Co. | Professional Detailing & Ceramic Paint Protection,"Unit 2/1 Atkinson Rd, Taren Point NSW 2229, Australia ",https://www.thedetailco.com.au/,"X4HH+7Q Taren Point, New South Wales, Australia",-34.021793,151.1293913
Auto Shine,"Miranda NSW 2228, Australia ",,"X4G4+C5 Miranda, New South Wales, Australia",-34.0238956,151.105483
Route 66 Car Wash Caringbah,"220 Taren Point Rd, Caringbah NSW 2229, Australia ",,"X4CC+59 Caringbah, New South Wales, Australia",-34.0295487,151.1209819
