Name,Address,Website,Plus-code,lat,lon
Quick & Clean Hand Carwash,"572 Hume Hwy, Casula NSW 2170, Australia ",,"2WX3+MQ Casula, New South Wales, Australia",-33.950771,150.9043996
Star Car Wash - Casula Mall,"Casula Mall, 1 Ingham Dr, Casula NSW 2170, Australia ",https://www.starcarwash.com.au/centres/casula-mall/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"3V2X+PW Casula, New South Wales, Australia",-33.948237,150.8998298
Black & White Mobile Carwash & Detailing,"25 Nettletree Pl, Casula NSW 2170, Australia ",,"2VXM+3V Casula, New South Wales, Australia",-33.9523706,150.8847209
Super Shine Carwash,"324 Hume Hwy, Liverpool NSW 2170, Australia ",https://www.supershinecarwash.com.au/,"3W99+Q5 Liverpool, New South Wales, Australia",-33.930549,150.9179786
A1 Carwash,"68-70 Hoxton Park Rd, Liverpool NSW 2170, Australia ",,"3WC5+QJ Liverpool, New South Wales, Australia",-33.928026,150.90911
xtremeshinez,"Casula Rd, Casula NSW 2170, Australia ",,"2WX3+PP Casula, New South Wales, Australia",-33.9506569,150.9043244
Car Lovers,"Unit 312/314 Hume Hwy, Liverpool NSW 2170, Australia ",,"3W99+X7 Liverpool, New South Wales, Australia",-33.9300342,150.9181822
One World Hand Car Wash & Cafe,"358 Hoxton Park Rd, Prestons NSW 2170, Australia ",http://www.oneworldcarwash.com.au/,"3VCJ+MH Prestons, New South Wales, Australia",-33.9282712,150.8813822
Wash & Co - Carwash and Café,"391/395 Newbridge Rd, Moorebank NSW 2170, Australia ",http://www.washandco.com.au/,"3WCJ+QR Moorebank, New South Wales, Australia",-33.9280652,150.9320643
Car Wash Cafe,"1/96 Hoxton Park Rd, Liverpool NSW 2170, Australia ",,"3WC4+WC Liverpool, New South Wales, Australia",-33.9276591,150.9061172
bp Truckstop,"615-617 Hume Hwy, Casula NSW 2170, Australia ",https://map.bp.com/en-AU/AU/gas-station/casula/bp-casula-pine-ave-hume-hwy/2216,"2VVV+WW Casula, New South Wales, Australia",-33.9552315,150.894861
Professor Dets Mobile Detailer,"Stead Pl, Casula NSW 2170, Australia ",https://www.instagram.com/professordets?igsh=MTlra2RoNXh3dmNxaA==,"2WQ2+99 Casula, New South Wales, Australia",-33.9615331,150.9009497
Aram Detailing,"Unit 29/10 Yato Rd, Prestons NSW 2170, Australia ",http://aramdetailing.com.au/,"3V6C+M5 Prestons, New South Wales, Australia",-33.9383057,150.8703881
Car Wash,"Casula NSW 2170, Australia ",,"2VVW+X3 Casula, New South Wales, Australia",-33.95507,150.8951486
Snap Car Wash Edmondson Park,"Blue Car Park, Ed Square Shopping Centre Cnr Soldiers Parade and, Campbelltown Rd, Edmondson Park NSW 2174, Australia ",http://www.snapcarwash.com.au/,"2VH5+GJ Edmondson Park, New South Wales, Australia",-33.9711673,150.8590483
Professor Dets Mobile Detailer,"Stead Pl, Casula NSW 2170, Australia ",https://www.instagram.com/professordets?igsh=MTlra2RoNXh3dmNxaA==,"2WQ2+99 Casula, New South Wales, Australia",-33.9615331,150.9009497
All Detailing Services,"108 Bigge St, Liverpool NSW 2170, Australia ",http://www.alldetailingservices.com.au/,"3WJH+24 Liverpool, New South Wales, Australia",-33.9199174,150.9277931
Car Wash Cafe,"1/96 Hoxton Park Rd, Liverpool NSW 2170, Australia ",,"3WC4+WC Liverpool, New South Wales, Australia",-33.9276591,150.9061172
Bubble Time Car Wash And Cafe,"219 Hoxton Park Rd, Cartwright NSW 2168, Australia ",,"3VFR+6F Cartwright, New South Wales, Australia",-33.9269372,150.8912033
Car Wash,"Casula NSW 2170, Australia ",,"2VVW+X3 Casula, New South Wales, Australia",-33.95507,150.8951486
My VIP Carwash,"Red Myer carparking, Level 4/25 Campbell St, Liverpool NSW 2170, Australia ",https://www.myvipcarwash.com.au/,"3WJG+PR Liverpool, New South Wales, Australia",-33.9181874,150.9270467
Snap Car Wash Edmondson Park,"Blue Car Park, Ed Square Shopping Centre Cnr Soldiers Parade and, Campbelltown Rd, Edmondson Park NSW 2174, Australia ",http://www.snapcarwash.com.au/,"2VH5+GJ Edmondson Park, New South Wales, Australia",-33.9711673,150.8590483
Wash 2 Go,"Casula NSW 2170, Australia ",,"2VVW+X3 Casula, New South Wales, Australia",-33.9550943,150.8951314
