Name,Address,Website,Plus-code,lat,lon
City Car Wash and City Car Detailing,"3 Daly St, Darwin City NT 0800, Australia ",https://citycardetailing.com.au/,"GRRM+JV Darwin City, Northern Territory, Australia",-12.4583991,130.834745
Paradise Car Wash,"58 Stuart Hwy, Stuart Park NT 0820, Australia ",https://paradisecarwash.square.site/,"HR4R+4H Stuart Park, Northern Territory, Australia",-12.4446765,130.8414125
Ezyas Car Wash NT,"47 Toupein Rd, Palmerston City NT 0830, Australia ",http://www.ezyascarwashnt.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"GXGR+2R Palmerston City, Northern Territory, Australia",-12.4749417,130.9920501
Crystal Clean Car Wash & Detailing,"1/265 Bagot Rd, Coconut Grove NT 0810, Australia ",http://www.crystalcleancarwash.com.au/,"HVX4+G8 Coconut Grove, Northern Territory, Australia",-12.4012385,130.8557681
Max Car Care,"11 Goyder Rd, Parap NT 0820, Australia ",https://www.maxcarcare.com.au/,"HR6Q+PW Parap, Northern Territory, Australia",-12.4382375,130.8397733
Crown Hand Carwash,"159 Dick Ward Dr, Nightcliff NT 0810, Australia ",https://crownhandcarwash.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"JV62+5H Nightcliff, Northern Territory, Australia",-12.3895668,130.8514301
Wash 'N' Go Car Wash,"19 Fowlestone Rd, Tivendale NT 0822, Australia ",https://www.washngopalmerston.com/,"GXG5+RF Tivendale, Northern Territory, Australia",-12.4729321,130.958653
Frangipani Hand Car Wash and Detailing.,"Near Kmart Tyres and Autos, Square, Casuarina NT 0810, Australia ",,"JVGJ+CC Casuarina, Northern Territory, Australia",-12.3739042,130.8811234
Topend Car Care,"370 Stuart Hwy, Winnellie NT 0820, Australia ",https://topendcarcare.com.au/,,-12.4257388,130.867875
Autocare NT,"3 Presley St, Stuart Park NT 0820, Australia ",https://www.autocarent.com.au/,"HR4R+7P Stuart Park, Northern Territory, Australia",-12.444276,130.841763
Once Over Auto Detailing,"26/18 McCourt Rd, Yarrawonga NT 0830, Australia ",https://onceoverautodetailing.com.au/,"GXGV+8J Yarrawonga, Northern Territory, Australia",-12.4741406,130.9940543
Autosmart NT,"7 Butler Pl, Holtze NT 0829, Australia ",http://autosmartdarwin.com.au/,"GXV9+QW Holtze, Northern Territory, Australia",-12.4555025,130.9698483
Ultra High Definition Detailing,"30 Livistona Rd, Karama NT 0812, Australia ",https://www.ultrahighdefinition.net/,"JW37+58 Karama, Northern Territory, Australia",-12.3970503,130.9132948
MJ Optimal Solutions,"25/43-45 Woods St, Darwin City NT 0800, Australia ",http://mjoptimalsolutions.com/?utm_source=gmb&utm_medium=referral,"GRQV+Q2 Darwin City, Northern Territory, Australia",-12.460522,130.842552
Goose Car Detailing,"The Blvd, Palmerston City NT 0830, Australia ",,"GXCP+C2 Palmerston City, Northern Territory, Australia",-12.4789802,130.985075
Territory Auto Care and Handwash,"482 Stuart Hwy, Winnellie NT 0820, Australia ",https://territoryautocare.com.au/,,-12.4256847,130.8850069
Goose Car Detailing,"The Blvd, Palmerston City NT 0830, Australia ",,"GXCP+C2 Palmerston City, Northern Territory, Australia",-12.4789802,130.985075
GreenTech Car Detailing Darwin,"247 Trower Rd, Casuarina NT 0810, Australia ",https://www.greentechnt.com.au/services/car-detailing,"JVGJ+2J Casuarina, Northern Territory, Australia",-12.3749302,130.8815219
Wash Rack,"Holtze NT 0829, Australia ",,"HX2H+GQ Holtze, Northern Territory, Australia",-12.4486999,130.9794006
You Beaut Car Detailers,"39 Rattray St, Nakara NT 0810, Australia ",,"JVJH+P2 Nakara, Northern Territory, Australia",-12.3681784,130.8775229
Complete Cleaning Services,"40 Abala Rd, Marrara NT 0812, Australia ",http://flossdetailing.com.au/,"JV2M+PG Marrara, Northern Territory, Australia",-12.398244,130.883756
Shorty’s Luxury Detailing,"Lee Point Rd, Anula NT 0810, Australia ",,"JV6P+82 Anula, Northern Territory, Australia",-12.3892493,130.8850681
Car Wash - Self Service Puma,"Caltex, 71 Chung Wah Terrace, Palmerston City NT 0830, Australia ",,"GX9P+58 Palmerston City, Northern Territory, Australia",-12.4820222,130.9858581
Leanyer Autocare - Deep Car Cleaning,"13 Exmouth Ct, Leanyer NT 0812, Australia ",,"JVHW+9J Leanyer, Northern Territory, Australia",-12.3716006,130.8966159
Clean Detailing,"2 Emery Ave, Woodroffe NT 0830, Australia ",,"GX4G+75 Woodroffe, Northern Territory, Australia",-12.4943012,130.9754473
