Name,Address,Website,Plus-code,lat,lon
1Touch Hand Car Wash Café,"251 The Horsley Dr, Fairfield NSW 2165, Australia ",,"4XH7+H6 Fairfield, New South Wales, Australia",-33.8710446,150.9630587
Hollywood Car Wash Cafe,"236 The Boulevarde, Fairfield Heights NSW 2165, Australia ",,"4WQQ+4M Fairfield Heights, New South Wales, Australia",-33.8621747,150.9391583
Splash City Car Wash,"163 The Boulevarde, Fairfield Heights NSW 2165, Australia ",,"4WMQ+93 Fairfield Heights, New South Wales, Australia",-33.8666116,150.9377161
Dandan car wash,"Smart St, Fairfield NSW 2165, Australia ",,"4XJ4+2C Fairfield, New South Wales, Australia",-33.8699739,150.9561224
One World Hand Car Wash,"368 Hamilton Rd, Fairfield West NSW 2165, Australia ",https://www.oneworldcarwash.com.au/,"4WJF+Q8 Fairfield West, New South Wales, Australia",-33.8680036,150.9232642
Best Hand Car Wash,"Alan St, Fairfield NSW 2165, Australia ",,"4XJ5+27 Fairfield, New South Wales, Australia",-33.8699414,150.9581857
Hands Car wash,"Gregory St, Fairfield West NSW 2165, Australia ",,"4WGC+X2 Fairfield West, New South Wales, Australia",-33.8725103,150.9200282
Golden Crown Car Wash Cafe,"74 Railway Pde, Canley Vale NSW 2166, Australia ",http://www.goldencrowncarwashcafe.com.au/,"4W8W+RQ Canley Vale, New South Wales, Australia",-33.882934,150.946903
Wash My Car,"958-960 Woodville Rd, Villawood NSW 2163, Australia ",,"4X6F+H9 Villawood, New South Wales, Australia",-33.8885767,150.973432
DAVID TASHMAN CAR WASH,"57 Codrington St, Fairfield NSW 2165, Australia ",,"4WFV+FG Fairfield, New South Wales, Australia",-33.8762745,150.9438021
Blue Diamond Hand Car Wash,"644 The Horsley Dr, Smithfield NSW 2164, Australia ",,"4WWR+C8 Smithfield, New South Wales, Australia",-33.8538856,150.9408721
5 Steps Car Wash,"930-932 Woodville Rd, Villawood NSW 2163, Australia ",http://www.fivestepscarwash.com.au/,"4X7F+FQ Villawood, New South Wales, Australia",-33.8863552,150.9744618
Clean cars only,"Gregory St, Fairfield West NSW 2165, Australia ",,"4WG9+WX Fairfield West, New South Wales, Australia",-33.8726627,150.9199933
#1 Truck Stop,"2 Pine Rd, Yennora NSW 2161, Australia ",http://www.1truckstop.com.au/,"4XM7+5H Yennora, New South Wales, Australia",-33.8671128,150.9639103
Mr. Bubble Hand Carwash,"319-321 Station St, Fairfield VIC 3078, Australia ",,"62MC+P6 Fairfield, Victoria, Australia",-37.7657234,145.0205545
IMO Car Wash,"560 Polding St, Wetherill Park NSW 2164, Australia ",https://www.imocarwash.com/au/car-washes/wetherill-park-new-south-wales/wetherill-park-car-wash/?y_source=1_MTIyNzE1NDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"4VQX+WW Wetherill Park, New South Wales, Australia",-33.8601605,150.8997817
Super Shine Carwash,"324 Hume Hwy, Liverpool NSW 2170, Australia ",https://www.supershinecarwash.com.au/,"3W99+Q5 Liverpool, New South Wales, Australia",-33.930549,150.9179786
Express Car Wash,"397 Cabramatta Rd W, Cabramatta NSW 2166, Australia ",,"4W2C+95 Cabramatta, New South Wales, Australia",-33.899016,150.920402
