Name,Address,Website,Plus-code,lat,lon
Concierge Car Wash - Broadway Shopping Centre,"1 Bay St, Broadway NSW 2007, Australia ",https://www.conciergecarwash.com.au/,"458V+QM Glebe, New South Wales, Australia",-33.8830279,151.1941862
GetNeat Mobile Car Wash,"95 Ross St, Forest Lodge NSW 2037, Australia ",https://getneat.com.au/,"45CH+9W Forest Lodge, New South Wales, Australia",-33.8790726,151.1797793
Xpert Carwash,"Undercover Car Park, Tramsheds Shopping Mall, 1 Dalgal Wy, Forest Lodge NSW 2037, Australia ",https://xpertcarwash.com.au/,"45FH+C2 Forest Lodge, New South Wales, Australia",-33.8763771,151.1775503
Pros Mobile Mechanic Sydney Carwash,"Glebe NSW 2037, Australia ",,"458V+FH Glebe, New South Wales, Australia",-33.8837862,151.1938764
Gem Premium Hand Car Wash Waterloo,"Meriton Retail Precinct, Parking Level 1, Crescent St, Waterloo NSW 2017, Australia ",https://gempremiumhandcarwash.com.au/,"4627+WM Waterloo, New South Wales, Australia",-33.89764,151.2141467
Gold Car Wash & Cafe,"44 O'Riordan St, Alexandria NSW 2015, Australia ",http://www.goldcarwashcafe.com.au/,"35QX+83 Alexandria, New South Wales, Australia",-33.9117478,151.1977002
Wax Car Wash,"375 Cleveland St, Redfern NSW 2016, Australia ",https://www.waxcarwash.com.au/,"4656+CF Redfern, New South Wales, Australia",-33.8914701,151.2112472
Wow Wash P/L.,"5 Parsons St, Rozelle NSW 2039, Australia ",http://www.wowwash.com.au/,,-33.865165,151.176503
Glebe Ezy Wash,"144C Glebe Point Rd, Glebe NSW 2037, Australia ",,"45CP+4M Glebe, New South Wales, Australia",-33.8796559,151.1866931
Xpert Carwash,"17 Halifax St, Macquarie Park NSW 2113, Australia ",https://www.xpertcarwash.com.au/,"644M+V9 Macquarie Park, New South Wales, Australia",-33.7927588,151.1334052
Detailing dale,"Mullens St, Balmain NSW 2039, Australia ",,"45QG+2H Balmain, New South Wales, Australia",-33.8624932,151.176389
Kmart Broadway,"1 Bay St, Glebe NSW 2007, Australia ",https://www.kmart.com.au/store-detail/Kmart+Broadway?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=kmart+broadway,"458V+G9 Glebe, New South Wales, Australia",-33.8837049,151.1934234
