Name,Address,Website,Plus-code,lat,lon
Car Wash Junction,"324/326 Olsen Ave, Parkwood QLD 4214, Australia ",https://www.carwashjunction.com/,"29RH+RR Parkwood, Queensland, Australia",-27.9579377,153.3795714
Carnawash - Hand Car Wash Gold Coast,"2830 Gold Coast Hwy, Surfers Paradise QLD 4217, Australia ",https://carnawash.com.au/,"XCMH+FG Surfers Paradise, Queensland, Australia",-28.0163104,153.4288542
Baystar Express hand car wash and cafe,"2564 Gold Coast Hwy, Mermaid Beach QLD 4218, Australia ",http://www.baystarexpress.com.au/,"XC6M+96 Mermaid Beach, Queensland, Australia",-28.0390691,153.4330912
Gold Coast Hand Car Wash,"47 Brisbane Rd, Biggera Waters QLD 4216, Australia ",,"3C73+Q3 Biggera Waters, Queensland, Australia",-27.9355373,153.4026842
Car Wash & Co,"Basement car park, 3280 Gold Coast Hwy, Surfers Paradise QLD 4217, Australia ",https://www.chevronrenaissanceshoppingcentre.com.au/stores/car-wash-co,"2C2G+5X Surfers Paradise, Queensland, Australia",-27.9995218,153.4273814
Magic Hand Car Wash Southport,"104 Ferry Rd, Southport QLD 4215, Australia ",https://www.magichcw.com.au/locations/car-detailing-car-wash-southport,"2CC6+6H Southport, Queensland, Australia",-27.9794512,153.4114149
Car Spa Gold Coast,"138 Slatyer Ave, Southport QLD 4215, Australia ",,"293X+CV Southport, Queensland, Australia",-27.9964152,153.3997124
The Wash | Hand Carwash | Car Detailing | Gold Coast | Mobile Detailing | System X Ceramic Coating,"46 Brisbane Rd, Labrador QLD 4215, Australia ",https://www.thewashgc.com.au/,"3C73+F2 Labrador, Queensland, Australia",-27.9362971,153.4025033
Carwash Headquarters,"11 Ashmore Rd, Bundall QLD 4217, Australia ",,"XCQ6+M6 Bundall, Queensland, Australia",-28.0108302,153.4105358
EcoSteam Car Wash,"Underground Parking Marina Mirage Shopping, 74 Seaworld Dr, Main Beach QLD 4217, Australia ",,"2CJG+M7 Main Beach, Queensland, Australia",-27.9683711,153.4257322
