Name,Address,Website,Plus-code,lat,lon
Queen Car Wash,"17/21 Woodville Rd, Granville NSW 2142, Australia ",,"5293+RP Granville, New South Wales, Australia",-33.8304991,151.004317
AS Car Wash and Detailing,"95 Parramatta Rd, Granville NSW 2142, Australia ",,"5297+GQ Granville, New South Wales, Australia",-33.8312083,151.0143832
Pristine the Ultimate CAR WASH,"30-36 Oak St, Rosehill NSW 2142, Australia ",,"52JC+38 Rosehill, New South Wales, Australia",-33.8198738,151.020874
5 Star Nepalese Hand Car Wash and Detailing,"54 Parramatta Rd, Clyde NSW 2142, Australia ",https://www.facebook.com/5starhand-carwas,"5289+J4 Clyde, New South Wales, Australia",-33.8333935,151.0177601
Soft Wash,"79 Cowper St, Granville NSW 2142, Australia ",,"5296+Q2 Granville, New South Wales, Australia",-33.8305282,151.0100434
KINGZ CARWASH,"36 Church St, Parramatta NSW 2150, Australia ",,"52G3+WX Parramatta, New South Wales, Australia",-33.8226952,151.004878
A M G Hand Car Wash,"36 Church St, Parramatta NSW 2150, Australia ",,"52G3+WX Parramatta, New South Wales, Australia",-33.8226952,151.004878
5 Star Hand Car Wash,"132 Victoria Rd, Parramatta NSW 2151, Australia ",https://5starcarwashcafe.com.au/,"52R9+P5 Parramatta, New South Wales, Australia",-33.808141,151.0178822
Route 66 hand car wash,"1 McFarlane St, Merrylands NSW 2160, Australia ",,"5X8Q+CR Merrylands, New South Wales, Australia",-33.8339477,150.9895925
Crystal Car Wash Merrylands,"185 Pitt St, Merrylands NSW 2160, Australia ",http://crystalcarwash.com/,"5X8R+9M Merrylands, New South Wales, Australia",-33.834068,150.991741
Immaculate touch detailing,"20 John St, Granville NSW 2142, Australia ",,"5265+3J Granville, New South Wales, Australia",-33.8397778,151.0090452
Crystal Car Wash Parramatta,"86 Victoria road Corner of Victoria road and, Buller St, Parramatta NSW 2150, Australia ",https://crystalcarwash.com/locations/parramatta-nsw/,"52R6+GQ Parramatta, New South Wales, Australia",-33.808748,151.011963
AK's Prestige Auto Detailing,"41a Binda St, Merrylands West NSW 2160, Australia ",https://akautodetailing.com/,"5X7C+QV Merrylands West, New South Wales, Australia",-33.8355659,150.9721306
Prime Hand Car Wash,"212-214 Parramatta Rd, Auburn NSW 2144, Australia ",http://www.primecarwash.com.au/,"525M+FX Auburn, New South Wales, Australia",-33.8412835,151.0349475
Premier Hand Car Wash,"Level 6/159-175 Church St, Parramatta NSW 2150, Australia ",,"52J2+PW Parramatta, New South Wales, Australia",-33.8182129,151.0023116
Auto Sport Detailing,"30 Berry St, Clyde NSW 2142, Australia ",https://www.facebook.com/profile.php?id=100023697407147,"5289+74 Clyde, New South Wales, Australia",-33.8342897,151.0178503
Verve Detailing,"1 Merrylands Rd, Merrylands NSW 2160, Australia ",http://instagram.com/vervedetailing,"5X6X+PQ Merrylands, New South Wales, Australia",-33.8381567,150.9994503
Wma Auto Care,"241 Parramatta Rd, Granville NSW 2142, Australia ",,"52F4+29 Granville, New South Wales, Australia",-33.8274708,151.0059758
