Name,Address,Website,Plus-code,lat,lon
Two Step Detailing,"Unit 5b/52 Ascot Drive, Huntingfield TAS 7055 ",http://www.twostepdetail.com.au/,"274R+6R Huntingfield, Tasmania, Australia",-42.9944767,147.2920398
Scrubbers Car Wash,"270 Argyle St, North Hobart TAS 7000, Australia ",http://scrubberscarwash.com.au/,"48G9+9Q North Hobart, Tasmania, Australia",-42.8740711,147.3194048
Coles Express Wash,"North Hobart TAS 7000, Australia ",https://www.reddyexpress.com.au/services/car-wash,"48F9+FJ North Hobart, Tasmania, Australia",-42.876325,147.3190336
Karwosh,"117 Central Ave, Derwent Park TAS 7009, Australia ",http://www.karwosh.com.au/,"5862+XW Derwent Park, Tasmania, Australia",-42.8376216,147.3023252
Magic Hand Carwash - Eastlands,"26 Bligh St, Rosny Park TAS 7018, Australia ",https://www.magichcw.com.au/,"49M9+F9 Rosny Park, Tasmania, Australia",-42.8662561,147.3684022
AJ Automotive Detailing Services,"Brisbane St, Hobart TAS 7000, Australia ",https://www.ajads.com.au/,"489C+PP Hobart, Tasmania, Australia",-42.88071,147.3218206
T & T service Australia,"85 Macquarie St, Hobart TAS 7000, Australia ",,"489J+9G Hobart, Tasmania, Australia",-42.8815251,147.3312538
Spit n Polish Car Detailing,"14 Lefroy St, North Hobart TAS 7000, Australia ",,"48G8+QR North Hobart, Tasmania, Australia",-42.8730943,147.3170357
Hans Mobile Car Detailing,"98 Doyle Ave, Lenah Valley TAS 7008, Australia ",https://www.hansdetailing.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5007261756887559213,"47MR+32 Lenah Valley, Tasmania, Australia",-42.867367,147.2900029
Eye For Detail Hobart,"10 Warwick St, Hobart TAS 7000, Australia ",,"48GF+7P Hobart, Tasmania, Australia",-42.8742822,147.3243168
Shell,"257 Elizabeth St, North Hobart TAS 7000, Australia ",https://find.shell.com/au/fuel/10111275-shell-reddy-express-hobart/en_AU,"48F9+9G North Hobart, Tasmania, Australia",-42.876566,147.3188703
