Name,Address,Website,Plus-code,lat,lon
Star Car Wash - Westfield Hornsby (Orange Level Car Park),"8 Albert St, Hornsby NSW 2077, Australia ",https://www.starcarwash.com.au/centres/hornsby/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"74V2+VV Hornsby, New South Wales, Australia",-33.7052533,151.1021741
Star Car Wash - Westfield Hornsby 2 (near Fitness First),"in front of Fitness First Gym, Muriel St Westfield Hornsby (Entry Via, Muriel St, Hornsby NSW 2077, Australia ",https://starcarwash.com.au/,"74W3+F6 Hornsby, New South Wales, Australia",-33.7038621,151.1030532
Auto Perfection Detailing,"2/95 Hunter St, Hornsby NSW 2077, Australia ",http://www.autoperfectiondetailing.com.au/,"8422+6F Hornsby, New South Wales, Australia",-33.699484,151.101184
Star Car Wash,"P5, Pink Car Park, Albert St, Hornsby NSW 2077, Australia ",https://www.starcarwash.com.au/locations,"74X2+7X Hornsby, New South Wales, Australia",-33.7018275,151.1023984
Star Car Wash,"L2 Orange Level, 236 Pacific Hwy, Hornsby NSW 2077, Australia ",https://www.starcarwash.com.au/locations,"73WX+2X Hornsby, New South Wales, Australia",-33.7049846,151.0999087
bp,"Burdett Street, George St, Hornsby NSW 2077, Australia ",https://map.bp.com/en-AU/AU/gas-station/hornsby/bp-hornsby/2226,"73XX+4V Hornsby, New South Wales, Australia",-33.7021419,151.0996368
Star Car Wash - Mount Colah,"Star Car Wash, 527-531 Pacific Hwy, Mount Colah NSW 2079, Australia ",https://www.starcarwash.com.au/centres/mount-colah/,"84F6+5Q Mount Colah, New South Wales, Australia",-33.6770565,151.1119941
Morgan Car Detailing,"6 James La, Waitara NSW 2077, Australia ",http://www.morgancardetailing.com.au/,"74R2+GG Waitara, New South Wales, Australia",-33.708717,151.101284
Shell,"194-206 Pacific Hwy, Hornsby NSW 2077, Australia ",https://find.shell.com/au/fuel/10110855-shell-reddy-express-hornsby/en_AU,"73VX+3J Hornsby, New South Wales, Australia",-33.7072598,151.0990456
Star Car Wash - Thornleigh,"27 Sefton Rd, Thornleigh NSW 2120, Australia ",https://www.starcarwash.com.au/centres/thornleigh/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"73HJ+CQ Thornleigh, New South Wales, Australia",-33.721429,151.0819593
NS Detail and Wrap,"1 James St, Hornsby NSW 2077, Australia ",https://www.nsdetailandwrap.com.au/,"74R2+H5 Hornsby, New South Wales, Australia",-33.708577,151.100448
Detail Hub - Motorcycle Detailing & Wrapping,"Unit 2/103 Hunter St, Hornsby NSW 2077, Australia ",http://detailhub.com.au/,"8422+CF Hornsby, New South Wales, Australia",-33.6988794,151.1012283
Inch-Care Car Detailing,"4 Leonard St, Waitara NSW 2077, Australia ",https://www.inchcare.com.au/,"74R2+R3 Waitara, New South Wales, Australia",-33.7079427,151.1001669
Drive & Shine Tyre & Auto,"15 Pattison Ave, Hornsby NSW 2077, Australia ",https://www.driveandshine.com.au/,,-33.7084086,151.1015907
There power,"44 Silvia St, Hornsby NSW 2077, Australia ",,"834W+46 Hornsby, New South Wales, Australia",-33.6946456,151.0955434
Super Shining Hand Car Wash Westfield Hornsby,"Muriel St, Hornsby NSW 2077, Australia ",,"74W3+J6 Hornsby, New South Wales, Australia",-33.7034382,151.1031122
