Name,Address,Website,Plus-code,lat,lon
GreenHandCarWash,"Park Rd & Cross St, Hurstville NSW 2220, Australia ",,"24M4+G4 Hurstville, New South Wales, Australia",-33.9662224,151.1053579
The Wash Hub Hurstville Self Service Laundromat,"18 Treacy St, Hurstville NSW 2220, Australia ",https://www.thewashhublaundromat.com.au/,"24J4+VJ Hurstville, New South Wales, Australia",-33.9677997,151.1065317
Nara Wash n Shine Hurstville,"309A Forest Rd, Hurstville NSW 2220, Australia ",http://www.narawashnshine.com.au/,"23MX+RQ Hurstville, New South Wales, Australia",-33.9654197,151.0994992
Forest Hand Carwash & Cafe,"71A Forest Rd, Hurstville NSW 2220, Australia ",,"24M6+8C Hurstville, New South Wales, Australia",-33.966717,151.111035
Concierge Car Wash - Westfield Hurstville,"30 Park Rd, Hurstville NSW 2220, Australia ",http://conciergecarwash.com.au/,"24M4+H8 Hurstville, New South Wales, Australia",-33.966088,151.105871
Wash My Ride,"71-75 Princes Hwy, Kogarah NSW 2217, Australia ",https://www.facebook.com/washmyridekogarah,"24PP+9P Kogarah, New South Wales, Australia",-33.9640808,151.1367645
Spotless Carwash N Cafe,"1/413 Canterbury Rd, Campsie NSW 2194, Australia ",https://www.facebook.com/Spotless-Carwash-N-Cafe-1716026815392523,"34M5+C8 Campsie, New South Wales, Australia",-33.9164439,151.108292
Kogarah Car Wash,"Rooftop Car Park, Kogarah Town Centre, 1-9 Railway Parade, Kogarah NSW 2217, Australia ",,"24QM+73 Kogarah, New South Wales, Australia",-33.9618677,151.1327164
GLOW CAR WASH & CAFE Bexley,"295-299 Forest Rd, Bexley NSW 2207, Australia ",,"344H+69 Bexley, New South Wales, Australia",-33.9444157,151.1284725
Crystal,"1010 King Georges Rd, Blakehurst NSW 2221, Australia ",http://www.crystalcarwash.com/,"2476+4J Blakehurst, New South Wales, Australia",-33.9871299,151.1115808
Diamond Detailing Services,"12 Woodville St, Hurstville NSW 2220, Australia ",http://detailingservices.com.au/,"24M3+X5 Hurstville, New South Wales, Australia",-33.9651077,151.1029536
Simplex Garage Detailing Studio,"21/59 Halstead St, South Hurstville NSW 2221, Australia ",,"23CX+PQ South Hurstville, New South Wales, Australia",-33.9781779,151.0993855
