Name,Address,Website,Plus-code,lat,lon
Wash My Ride,"71-75 Princes Hwy, Kogarah NSW 2217, Australia ",https://www.facebook.com/washmyridekogarah,"24PP+9P Kogarah, New South Wales, Australia",-33.9640808,151.1367645
Kogarah Car Wash,"Rooftop Car Park, Kogarah Town Centre, 1-9 Railway Parade, Kogarah NSW 2217, Australia ",,"24QM+73 Kogarah, New South Wales, Australia",-33.9618677,151.1327164
Pro Shine Car Wash and Detailing,"6 Princes Hwy, Kogarah NSW 2217, Australia ",,"24JP+58 Kogarah, New South Wales, Australia",-33.9695049,151.1358382
A1 Mobile Car Detailing,"23 Phillips Rd, Kogarah NSW 2217, Australia ",https://a1mobilecardetailing.com.au/,"24FQ+7G Kogarah, New South Wales, Australia",-33.9768266,151.1388177
Carrera Car Care,"11/22 Phillips Rd, Kogarah NSW 2217, Australia ",http://carreracarcare.com.au/,"24FQ+2G Kogarah, New South Wales, Australia",-33.9774428,151.1388446
Car Detailing Sydney - Cleanup Solutions,"55 Ocean St, Kogarah NSW 2217, Australia ",https://cleanupcardetailing.com.au/,"24HM+X9 Kogarah, New South Wales, Australia",-33.9700408,151.1334662
Brilliance Car Care,"11 Phillips Rd, Kogarah NSW 2217, Australia ",,"24FQ+83 Kogarah, New South Wales, Australia",-33.9766274,151.1377254
Green and Gold,"444 W Botany St, Rockdale NSW 2216, Australia ",,"24RW+29 Rockdale, New South Wales, Australia",-33.9599663,151.1458821
Bright Car Wash,"Rockdale NSW 2216, Australia ",,"24RQ+VX Rockdale, New South Wales, Australia",-33.9578136,151.1399185
ShinyRoo Car Detailing,"13/380 W Botany St, Rockdale NSW 2216, Australia ",https://www.shinyroo.com/,"24RX+R4 Rockdale, New South Wales, Australia",-33.9578953,151.1478296
Spotless Carwash N Cafe,"1/413 Canterbury Rd, Campsie NSW 2194, Australia ",https://www.facebook.com/Spotless-Carwash-N-Cafe-1716026815392523,"34M5+C8 Campsie, New South Wales, Australia",-33.9164439,151.108292
GLOW CAR WASH & CAFE Bexley,"295-299 Forest Rd, Bexley NSW 2207, Australia ",,"344H+69 Bexley, New South Wales, Australia",-33.9444157,151.1284725
The Detailing Lab - Mobile Car Detailing Service,"Carlton Parade, Carlton NSW 2218, Australia ",,"24JG+92 Carlton, New South Wales, Australia",-33.969042,151.1250644
SCD Sydney Car Detailing | Mobile Service,"The Grand Parade, Monterey NSW 2217, Australia ",http://www.sydneycardetailing.com.au/,"25H2+JQ Monterey, New South Wales, Australia",-33.9708867,151.1519156
Crystal Car Wash,"464 Rocky Point Rd, Sans Souci NSW 2219, Australia ",http://www.crystalcarwash.com/,"245M+R9 Sans Souci, New South Wales, Australia",-33.9904651,151.1334799
Cloud Wash Laundromat,"142 Railway Parade, Kogarah NSW 2217, Australia ",https://cloudwash.com.au/,"24MJ+VR Kogarah, New South Wales, Australia",-33.9653566,151.1320479
Jim's Fine Finish Mobile Car Detailing Mobile Car,"50 Mill St, Carlton NSW 2218, Australia ",,"24MC+V7 Carlton, New South Wales, Australia",-33.9653608,151.1207272
Crystal,"1010 King Georges Rd, Blakehurst NSW 2221, Australia ",http://www.crystalcarwash.com/,,-33.9871299,151.1115808
Carwash,"520 Rocky Point Rd, Sans Souci NSW 2219, Australia ",,"244J+XW Sans Souci, New South Wales, Australia",-33.9925823,151.132286
