Name,Address,Website,Plus-code,lat,lon
Star Car Wash - Lidcombe Shopping Centre,"Lidcombe Shopping Centre, 92 Parramatta Rd, Lidcombe NSW 2141, Australia ",https://www.starcarwash.com.au/centres/lidcombe/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"522X+CF Lidcombe, New South Wales, Australia",-33.8489364,151.0486946
V8 Car Wash & Cafe,"90 Parramatta Rd, Lidcombe NSW 2141, Australia ",https://www.facebook.com/V8-carwash-cafe-lidcombe-260037904699840/,"5322+56 Lidcombe, New South Wales, Australia",-33.8496208,151.0505981
Prime Hand Car Wash,"212-214 Parramatta Rd, Auburn NSW 2144, Australia ",http://www.primecarwash.com.au/,"525M+FX Auburn, New South Wales, Australia",-33.8412835,151.0349475
Xtream Car Care Auburn,"Primewest Megamall, Shop G99/265 Parramatta Rd, Auburn NSW 2144, Australia ",http://xtreamauburn.com.au/,"526H+W6 Auburn, New South Wales, Australia",-33.8377201,151.0280802
Crown Carwash Cafe Strathfield,"606 Liverpool Rd, Strathfield South NSW 2136, Australia ",https://crowncarwash.au/,"436F+RH Strathfield South, New South Wales, Australia",-33.887892,151.073943
IMO Car Wash,"213-219 Parramatta Rd, Strathfield NSW 2137, Australia ",https://www.imocarwash.com/au/car-washes/strathfield-new-south-wales/bhq/?y_source=1_MTIyNzE3MzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"43PQ+3C Strathfield, New South Wales, Australia",-33.8648047,151.0885701
Sydney Superior Details,"31 Tooth Ave, Newington NSW 2127, Australia ",https://www.sydneysuperiordetails.com/,"5342+X6 Newington, New South Wales, Australia",-33.8425812,151.0506182
Lime Car Wash,"360 Park Rd, Regents Park NSW 2143, Australia ",https://limecarwash.com/,"42CF+9W Regents Park, New South Wales, Australia",-33.8790087,151.0248032
10 Auburn Carwash,"Queen St &, Harrow Rd, Auburn NSW 2144, Australia ",,"42XJ+JP Auburn, New South Wales, Australia",-33.8509521,151.0317866
Zoom Carwash Cafe Greenacre,"19 Hume Hwy, Greenacre NSW 2190, Australia ",http://www.zoomcarwashcafe.com.au/,,-33.8864877,151.0664823
BOUTIQUE PRESTIGE DETAILING,"Unit H3 161Arthur St, Homebush West NSW 2140, Australia ",,"43P6+43 Homebush West, New South Wales, Australia",-33.8647242,151.0601589
5 Star Hand Car Wash,"132 Victoria Rd, Parramatta NSW 2151, Australia ",https://5starcarwashcafe.com.au/,"52R9+P5 Parramatta, New South Wales, Australia",-33.808141,151.0178822
Spotless Carwash N Cafe,"1/413 Canterbury Rd, Campsie NSW 2194, Australia ",https://www.facebook.com/Spotless-Carwash-N-Cafe-1716026815392523,"34M5+C8 Campsie, New South Wales, Australia",-33.9164439,151.108292
Hybrid Detail,"2A Keira Ave, Greenacre NSW 2190, Australia ",http://hybriddetail.com.au/,"4357+VH Greenacre, New South Wales, Australia",-33.8903131,151.0639018
Kim's Prestige Car Detailing,"Unit 19/18 Day St N, Silverwater NSW 2128, Australia ",,"5352+RF Silverwater, New South Wales, Australia",-33.8404848,151.0511838
Shine On Car Wash,"101/5 Footbridge Bvd, Wentworth Point NSW 2127, Australia ",http://www.shineoncarwash.com.au/,"53GH+4G Wentworth Point, New South Wales, Australia",-33.8247212,151.0788445
White Diamond Hand Car Wash,"273-277 Parramatta Rd, Haberfield NSW 2045, Australia ",http://www.diamondwash.com.au/,"44GH+3H Haberfield, New South Wales, Australia",-33.8747742,151.1288807
Dr. Car Wash & Detailing,"320 Parramatta Rd, Burwood NSW 2134, Australia ",http://drcarwash.com.au/,"44J4+7Q Burwood, New South Wales, Australia",-33.8693351,151.106903
