Name,Address,Website,Plus-code,lat,lon
A1 Carwash,"68-70 Hoxton Park Rd, Liverpool NSW 2170, Australia ",,"3WC5+QJ Liverpool, New South Wales, Australia",-33.928026,150.90911
IMO Car Wash,"23 Bathurst St, Liverpool NSW 2170, Australia ",https://www.imocarwash.com/au/car-washes/liverpool-new-south-wales/liverpool-car-wash/?y_source=1_MTIyNzE1MzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"3WHC+XG Liverpool, New South Wales, Australia",-33.9200084,150.9213377
Plaza Wash - Car Wash & Detailing,"Aldi Rooftop Car Park, Access from, 158 Northumberland St, Liverpool NSW 2170, Australia ",https://www.instagram.com/plaza_wash/,"3WHF+G9 Liverpool, New South Wales, Australia",-33.9211661,150.9234676
Star Car Wash - Westfield Liverpool,"Bathurst St, Liverpool NSW 2170, Australia ",https://www.starcarwash.com.au/centres/liverpool/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"3WJC+JW Liverpool, New South Wales, Australia",-33.9183896,150.9223282
Car Wash Cafe,"1/96 Hoxton Park Rd, Liverpool NSW 2170, Australia ",,"3WC4+WC Liverpool, New South Wales, Australia",-33.9276591,150.9061172
Car Lovers,"Unit 312/314 Hume Hwy, Liverpool NSW 2170, Australia ",,"3W99+X7 Liverpool, New South Wales, Australia",-33.9300342,150.9181822
Auto spa detailing,"21 Northumberland St, Liverpool NSW 2170, Australia ",,"3WMF+57 Liverpool, New South Wales, Australia",-33.9171008,150.9231555
Diamond Auto Detailing - Mobile Car Detailing and Polishing services,"serves Sydney area's and surroundings area's, Liverpool NSW 2170, Australia ",,"3WCC+V6 Liverpool, New South Wales, Australia",-33.9277733,150.9205344
Pristine The Ultimate Car Wash,"Unit 312/314 Hume Hwy, Liverpool NSW 2170, Australia ",,"3W99+X7 Liverpool, New South Wales, Australia",-33.9300342,150.9181822
Wash & Co - Carwash and Café,"391/395 Newbridge Rd, Moorebank NSW 2170, Australia ",http://www.washandco.com.au/,"3WCJ+QR Moorebank, New South Wales, Australia",-33.9280652,150.9320643
Prestige1 Carwash Hoxton Park,"219 Hoxton Park Rd, Cartwright NSW 2168, Australia ",,"3VFR+6F Cartwright, New South Wales, Australia",-33.9269034,150.8912187
Express Car Wash,"397 Cabramatta Rd W, Cabramatta NSW 2166, Australia ",,"4W2C+95 Cabramatta, New South Wales, Australia",-33.899016,150.920402
Elite Mobile Detailing,"Townview Rd, Mount Pritchard NSW 2170, Australia ",http://www.instagram.com/elitedetailingg,"4W29+HV Mount Pritchard, New South Wales, Australia",-33.8985126,150.9197099
Quick & Clean Hand Carwash,"572 Hume Hwy, Casula NSW 2170, Australia ",,"2WX3+MQ Casula, New South Wales, Australia",-33.950771,150.9043996
Star Car Wash - Casula Mall,"Casula Mall, 1 Ingham Dr, Casula NSW 2170, Australia ",https://www.starcarwash.com.au/centres/casula-mall/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"3V2X+PW Casula, New South Wales, Australia",-33.948237,150.8998298
Bubble Time Car Wash And Cafe,"219 Hoxton Park Rd, Cartwright NSW 2168, Australia ",,"3VFR+6F Cartwright, New South Wales, Australia",-33.9269372,150.8912033
