Name,Address,Website,Plus-code,lat,lon
Star Car Wash - Maroubra Pacific Square,"Car Park, Level B2/737 Anzac Parade, Maroubra NSW 2035, Australia ",https://www.starcarwash.com.au/centres/maroubra-pacific-square/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"365Q+M9 Maroubra, New South Wales, Australia",-33.9408371,151.2384203
Wash Pro Carwash & Cafe,"585 Bunnerong Rd, Matraville NSW 2036, Australia ",,"26PJ+PV Matraville, New South Wales, Australia",-33.9632164,151.2321409
Vinces Car Detailing,"104 Garden St, Maroubra NSW 2035, Australia ",http://vincescardetailing.au/,"366R+2P Maroubra, New South Wales, Australia",-33.9399054,151.241833
Gem Premium Hand Car Wash Pagewood,"Under Coles Local Parking, 6 Tingwell Bvd, Entry Via, Finch Dr, Eastgardens NSW 2036, Australia ",https://gempremiumhandcarwashpagewood.com/,"365G+95 Eastgardens, New South Wales, Australia",-33.9415824,151.2254441
Southpoint Carwash & Detailing Hillsdale,"238-262 Bunnerong Rd, Hillsdale NSW 2036, Australia ",,"26XJ+6C Hillsdale, New South Wales, Australia",-33.9519798,151.231009
Crystal Car Wash Kingsford,"417 Anzac Parade, Kingsford NSW 2032, Australia ",http://crystalcarwash.com/,"36FH+JW Kingsford, New South Wales, Australia",-33.9259228,151.2297537
Concierge Car Wash - Westfield Eastgardens,"152 Bunnerong Rd, Eastgardens NSW 2036, Australia ",http://www.conciergecarwash.com.au/,"363F+Q7 Eastgardens, New South Wales, Australia",-33.9455446,151.2231984
Star Car Wash - Westfield Eastgardens,"Westfield Eastgardens Shopping Centre, Green Level Car Park, Enter Wentworth Ave, 152 Bunnerong Rd, Eastgardens NSW 2036, Australia ",https://www.starcarwash.com.au/centres/eastgardens/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"364F+3P Eastgardens, New South Wales, Australia",-33.9448257,151.2243293
Bp Randwick car wash,"8/10 Perouse Rd, Randwick NSW 2031, Australia ",https://www.bp.com/en_au/australia/home/who-we-are/find-your-nearest-bp.html,"36JR+CV Randwick, New South Wales, Australia",-33.9189379,151.2422252
Car Wash,"Franklin St, Matraville NSW 2036, Australia ",,"26QJ+PJ Matraville, New South Wales, Australia",-33.9607117,151.2316222
Gold Car Wash & Cafe,"44 O'Riordan St, Alexandria NSW 2015, Australia ",http://www.goldcarwashcafe.com.au/,,-33.9117478,151.1977002
AngelesDetailing,"117 Boyce Rd, Maroubra NSW 2035, Australia ",https://www.instagram.com/angelesdetailing/,"365Q+VW Maroubra, New South Wales, Australia",-33.9402965,151.2398203
