Name,Address,Website,Plus-code,lat,lon
Crystal Car Wash Mosman,"612 Military Rd, Mosman NSW 2088, Australia ",http://crystalcarwash.com/,"56GQ+9G Mosman, New South Wales, Australia",-33.82411,151.238837
bp,"Avenue Road, Cowles Rd, Mosman NSW 2088, Australia ",https://map.bp.com/en-AU/AU/gas-station/mosman/bp-mosman-avenue-rd/9542,"569P+5X Mosman, New South Wales, Australia",-33.8321189,151.2374161
Crystal Car Wash Northbridge,"75 Sailors Bay Rd, Northbridge NSW 2063, Australia ",http://crystalcarwash.com/,"56Q5+W3 Northbridge, New South Wales, Australia",-33.8101596,151.2077034
WOW Wash Mobile Car Wash & Detailing,"15 Blue St, North Sydney NSW 2060, Australia ",http://wowwashmobilecardetailing.com.au/,"5654+FX North Sydney, New South Wales, Australia",-33.8412663,151.207498
MHCB services,"88 Raglan St, Mosman NSW 2088, Australia ",,"567P+FH Mosman, New South Wales, Australia",-33.8363241,151.2364873
First Class Car Care - Vaucluse,"77 New South Head Rd, Vaucluse NSW 2030, Australia ",,"47RH+57 Vaucluse, New South Wales, Australia",-33.8596077,151.278151
Star Car Wash - Double Bay,"1-13 Cross St, Double Bay NSW 2028, Australia ",https://www.starcarwash.com.au/centres/double-bay/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"46FV+8P Double Bay, New South Wales, Australia",-33.8766828,151.2442813
Star Car Wash - Balgowlah Village,"Stockland Balgowlah, 197-215 Condamine St, Balgowlah NSW 2093, Australia ",https://www.starcarwash.com.au/centres/balgowlah/?utm_source=Google-Local&utm_medium=organic&utm_campaign=local-seo,"6747+QP Balgowlah, New South Wales, Australia",-33.7930797,151.2643177
Car Wash,"Neutral Bay NSW 2089, Australia ",,"56C8+8J Neutral Bay, New South Wales, Australia",-33.8292001,151.2165529
getneat Mobile Car Wash North Shore,"2 Spruson St, Neutral Bay NSW 2089, Australia ",https://getneat.com.au/,"5668+97 Neutral Bay, New South Wales, Australia",-33.8390645,151.2157286
North Shore Car Care,"Mosman St, Mosman NSW 2088, Australia ",,"566M+C2 Mosman, New South Wales, Australia",-33.8388779,151.2326141
