Name,Address,Website,Plus-code,lat,lon
KINGZ CARWASH,"36 Church St, Parramatta NSW 2150, Australia ",,"52G3+WX Parramatta, New South Wales, Australia",-33.8226952,151.004878
Premier Hand Car Wash,"Level 6/159-175 Church St, Parramatta NSW 2150, Australia ",,"52J2+PW Parramatta, New South Wales, Australia",-33.8182129,151.0023116
Crystal Car Wash Parramatta,"86 Victoria road Corner of Victoria road and, Buller St, Parramatta NSW 2150, Australia ",https://crystalcarwash.com/locations/parramatta-nsw/,"52R6+GQ Parramatta, New South Wales, Australia",-33.808748,151.011963
A M G Hand Car Wash,"36 Church St, Parramatta NSW 2150, Australia ",,"52G3+WX Parramatta, New South Wales, Australia",-33.8226952,151.004878
RR Car Wash,"Rooftop Parking, Near - Coles Click and Collect, Level -6/175 Church St, Parramatta NSW 2150, Australia ",https://www.rrcarwash.com.au/,"52J2+V2 Parramatta, New South Wales, Australia",-33.817796,151.0000639
Pristine the Ultimate CAR WASH,"30-36 Oak St, Rosehill NSW 2142, Australia ",,"52JC+38 Rosehill, New South Wales, Australia",-33.8198738,151.020874
5 Star Nepalese Hand Car Wash and Detailing,"54 Parramatta Rd, Clyde NSW 2142, Australia ",https://www.facebook.com/5starhand-carwas,"5289+J4 Clyde, New South Wales, Australia",-33.8333935,151.0177601
Alldun Pty Ltd,"45 Macquarie St, Parramatta NSW 2150, Australia ",https://www.alldun.com.au/,"52P2+3F Parramatta, New South Wales, Australia",-33.8148372,151.0012464
A Class Mobile Detailing,"4 New St, North Parramatta NSW 2151, Australia ",http://www.aclassdetailing.com.au/,"52X2+MQ North Parramatta, New South Wales, Australia",-33.8007524,151.0019364
Queen Car Wash,"17/21 Woodville Rd, Granville NSW 2142, Australia ",,"5293+RP Granville, New South Wales, Australia",-33.8304991,151.004317
Xtream Car Care Auburn,"Primewest Megamall, Shop G99/265 Parramatta Rd, Auburn NSW 2144, Australia ",http://xtreamauburn.com.au/,"526H+W6 Auburn, New South Wales, Australia",-33.8377201,151.0280802
WAXonWAXoff Auto Spa,"8 Joseph St, Rydalmere NSW 2116, Australia ",,"52VP+F4 Rydalmere, New South Wales, Australia",-33.8063588,151.0352867
Bright Shine Ceramic Paint Protection and Detailing,"40A Fennell St, North Parramatta NSW 2151, Australia ",http://www.brightshinemobile.com/,"52V5+MH North Parramatta, New South Wales, Australia",-33.8057666,151.0088829
Best Value Carwash,"88 Victoria Rd (Corner, Buller St, Parramatta NSW 2150, Australia ",,"52R6+GX Parramatta, New South Wales, Australia",-33.8086528,151.0123905
Crystal Car Wash Merrylands,"185 Pitt St, Merrylands NSW 2160, Australia ",http://crystalcarwash.com/,"5X8R+9M Merrylands, New South Wales, Australia",-33.834068,150.991741
Shell,"88 Victoria Road, Buller St, Parramatta NSW 2150, Australia ",https://find.shell.com/au/fuel/10110928-shell-reddy-express-parramatta/en_AU,"52R7+G4 Parramatta, New South Wales, Australia",-33.8087101,151.0127852
