Name,Address,Website,Plus-code,lat,lon
Exclusive Car Wash & Cafe,"3 Doonmore St, Penrith NSW 2750, Australia ",,"6PW3+5X Penrith, New South Wales, Australia",-33.7545979,150.704961
Elegance Car Wash,"35-37 Henry St, Penrith NSW 2750, Australia ",http://www.elegancecarwash.com.au/,"6PW3+GP Penrith, New South Wales, Australia",-33.7536421,150.7043579
A1 Hand Carwash Penrith,"3/160 Station St, Penrith NSW 2750, Australia ",https://www.nepeanvillage.com.au/stores/a1-car-wash/,"6MRR+P8 Penrith, New South Wales, Australia",-33.7581858,150.6908019
Concierge Car Wash,"585 High St, Penrith NSW 2750, Australia ",https://conciergecarwash.com.au/westfield-penrith/,"6MXV+F9 Penrith, New South Wales, Australia",-33.7513421,150.6934793
IMO Car Wash,"2209/2213 Castlereagh Rd, Penrith NSW 2750, Australia ",https://www.imocarwash.com/au/car-washes/penrith-new-south-wales/penrith-car-wash/?y_source=1_MTIyNzE3NDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"7M4V+G5 Penrith, New South Wales, Australia",-33.7436791,150.6929758
Jimmy's Hand Car Wash & Detailing,"588 High St, Penrith NSW 2750, Australia ",,"6MXR+2C Penrith, New South Wales, Australia",-33.752464,150.6910665
Star Car Wash - Westfield Penrith,"585 High St, Penrith NSW 2750, Australia ",https://www.starcarwash.com.au/centres/penrith/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"6MXR+GV Penrith, New South Wales, Australia",-33.7511661,150.6921977
Star Car Wash - Penrith Panthers,"Penrith Panthers, 135 Mulgoa Rd, Penrith NSW 2750, Australia ",https://www.starcarwash.com.au/centres/panthers-penrith/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"6MVM+CQ Penrith, New South Wales, Australia",-33.7564862,150.6844875
Lush Auto Spa,"Unit 28 9/12 Lambridge Pl, Penrith NSW 2750, Australia ",,"7M8W+RH Penrith, New South Wales, Australia",-33.7329462,150.6964921
B&B Auto Detailing,"Unit 23/29 Coombes Dr, Penrith NSW 2750, Australia ",,"7P43+R2 Penrith, New South Wales, Australia",-33.7429835,150.7026093
Green and Gold Car Wash,"121 Cox Ave, Kingswood NSW 2747, Australia ",,"6PV7+R3 Kingswood, New South Wales, Australia",-33.7554456,150.7127415
Daniel’s Mobile Car Cleaning,"Pelsart Ave, Penrith NSW 2750, Australia ",https://www.facebook.com/profile.php?id=61555368159013&mibextid=LQQJ4d,"7P77+J7 Penrith, New South Wales, Australia",-33.7358922,150.71319
Peachtree Car Detailing,"7/61-63 Batt St, Jamisontown NSW 2750, Australia ",https://www.peachtreecardetailing.com.au/,"6MMP+3M Jamisontown, New South Wales, Australia",-33.7673008,150.6867426
Works,"Shop 215/569 High St, Penrith NSW 2750, Australia ",,"6MXR+PR Penrith, New South Wales, Australia",-33.7507354,150.6920674
Green and Gold Car Wash Emu Plains,"1 Pyramid St, Emu Plains NSW 2750, Australia ",,"6MW4+RX Emu Plains, New South Wales, Australia",-33.7529675,150.6574163
Auto Charm Detailing,"7 Pavey Pl, Cranebrook NSW 2749, Australia ",https://www.autocharmdetailing.com.au/,"7PG7+PR Cranebrook, New South Wales, Australia",-33.7231825,150.7145146
First Round Car Detailing | Operating 7 Days - Marsden Park | Penrith | Sydney,"Passionflower St, Marsden Park NSW 2765, Australia ",https://frdetailing.simplybook.net/v2/,"8R65+95 Marsden Park, New South Wales, Australia",-33.689061,150.8078894
Werrington Eco Megawash,"574 Great Western Hwy, Werrington NSW 2747, Australia ",,"6QJ4+MP Werrington, New South Wales, Australia",-33.7683217,150.7568164
Callaghan Truck Washing,"13/31 Coombes Dr, Penrith NSW 2750, Australia ",https://www.callaghantruckwash.com.au/,"7P43+RC Penrith, New South Wales, Australia",-33.742904,150.703523
Clarity Auto Detailing Australia,"Shearwater Dr, Glenmore Park NSW 2745, Australia ",https://www.clarityautodetailing.com.au/,"6M3F+MF Glenmore Park, New South Wales, Australia",-33.7957534,150.673707
Green and Gold Car Wash Emu Plains,"1 Pyramid St, Emu Plains NSW 2750, Australia ",,"6MW4+RX Emu Plains, New South Wales, Australia",-33.7529675,150.6574163
Revive Auto Detailing,"Bellatrix St, Cranebrook NSW 2749, Australia ",https://reviveautodetail.weeblysite.com/,"7PV7+5M Cranebrook, New South Wales, Australia",-33.7070765,150.7142454
Star Car Wash - HomeCo Glenmore Park,"Centre, 1 Town Terrace, Glenmore Park NSW 2745, Australia ",https://www.starcarwash.com.au/centres/glenmore-park/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"6M79+4J Glenmore Park, New South Wales, Australia",-33.7871437,150.6690296
Softwash,"94 Mulgoa Rd, Jamisontown NSW 2750, Australia ",,"6MMH+9R Jamisontown, New South Wales, Australia",-33.7665927,150.6795364
NextLevel Garage,"Located in Penrith, Penrith NSW 2745, Australia ",http://www.instagram.com/_nextlevelgarage,"6MXQ+P3 Penrith, New South Wales, Australia",-33.7506759,150.687674
bp,"126-130 Mulgoa Rd, Jamisontown NSW 2750, Australia ",https://map.bp.com/en-AU/AU/gas-station/penrith/bp-jamison-town/2967,"6MJG+4J Jamisontown, New South Wales, Australia",-33.7697,150.6765
MAGMA CAR CARE,"184 Greenwood Pkwy, Jordan Springs NSW 2747, Australia ",,"7PCP+Q4 Jordan Springs, New South Wales, Australia",-33.7281097,150.7353486
1 Stop Hand Car Wash,"526 Great Western Hwy, St Marys NSW 2760, Australia ",,"6QH8+WG St Marys, New South Wales, Australia",-33.770129,150.7663566
