Name,Address,Website,Plus-code,lat,lon
Magic Hand Carwash North Perth,"350 Charles St, North Perth WA 6006, Australia ",https://www.magichcw.com.au/,"3VC3+V5 North Perth, Western Australia, Australia",-31.9277564,115.8528943
"Silver Sponge Hand Car Wash, East Perth","264 Lord St, Perth WA 6000, Australia ",https://silversponge.com.au/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,,-31.9449958,115.8727722
Impeccable Hand Car Wash & Detailing,"43 Kensington St, East Perth WA 6004, Australia ",http://www.impeccablehandcarwash.com.au/,,-31.9503,115.87753
KwiknKleen Car Wash South Perth,"77 Canning Hwy, South Perth WA 6151, Australia ",http://kwiknkleen.com.au/,"2VCH+F9 South Perth, Western Australia, Australia",-31.97885,115.878462
Magic Hand Carwash Victoria Park,"78-80 Canning Hwy, Victoria Park WA 6100, Australia ",https://www.magichcw.com.au/,"2VGM+C8 Victoria Park, Western Australia, Australia",-31.97397,115.88336
"Silver Sponge Hand Car Wash, QEII Medical Centre","QEII Medical Centre Carpark, Winthrop Ave, Nedlands WA 6009, Australia ",https://silversponge.com.au/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,"2RM9+62 Nedlands, Western Australia, Australia",-31.9669646,115.8175028
Perth Car Wash,"45 Berriman Dr, Wangara WA 6065, Australia ",https://perthcardetailing.com/,"6R4F+PQ Wangara, Western Australia, Australia",-31.7932486,115.8244975
A-SpaHand Car Wash&Detailing,"17 Golding St, West Perth WA 6003, Australia ",https://a-spahandcarwash.com.au/,"3R5X+8J West Perth, Western Australia, Australia",-31.9416782,115.849109
Pro 7 Hand Car Wash & Detailing Centre,"71-73 Scarborough Beach Rd, Mount Hawthorn WA 6016, Australia ",https://www.facebook.com/profile.php?id=100092461039839&mibextid=ZbWKwL,"3RGW+6C Mount Hawthorn, Western Australia, Australia",-31.9243909,115.8461237
Perth Detailing Centre,"20/1 Baden St, Osborne Park WA 6017, Australia ",https://www.perthdetailingcentre.com.au/,"3RQF+5H Osborne Park, Western Australia, Australia",-31.912076,115.823936
Magic Carwash Balcatta,"104-108 Erindale Rd, Balcatta WA 6021, Australia ",https://www.magichcw.com.au/,"4RQ5+QR Balcatta, Western Australia, Australia",-31.8605556,115.8095855
Perfect Hand Carwash,"1160 Albany Hwy, Bentley WA 6102, Australia ",http://www.perfecthandcarwash.com.au/,"XWWC+V6 Bentley, Western Australia, Australia",-32.0027688,115.9205943
Mega Hand Car Wash,"Livingston market place, Canning Vale WA 6155, Australia ",http://www.megahandcarwash.com.au/,"WW89+39 Canning Vale, Western Australia, Australia",-32.0848579,115.9184057
A-Spa Hand Car Wash and Detailing,"402a Scarborough Beach Rd, Osborne Park WA 6017, Australia ",https://a-spahandcarwash.com.au/,"3RQ7+RQ Osborne Park, Western Australia, Australia",-31.91039,115.8144001
Eco Spray North Perth,"496 Charles St, North Perth WA 6006, Australia ",https://silversponge.com.au/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,"3RJX+VJ North Perth, Western Australia, Australia",-31.9178336,115.849089
Sparklers Midland Car Wash,"158 Great Eastern Hwy, Midland WA 6056, Australia ",,"424C+RM Midland, Western Australia, Australia",-31.892886,116.0216933
Willetton Carwash,"167 High Rd, Willetton WA 6155, Australia ",http://www.coltwash.com.au/,,-32.0394528,115.8839745
Cars U Wash,"222 Scarborough Beach Rd, Doubleview WA 6018, Australia ",https://m.facebook.com/pages/Cars-U-Wash/147113628664733,,-31.8942997,115.7811909
Eco Spray North Perth,"496 Charles St, North Perth WA 6006, Australia ",https://silversponge.com.au/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,"3RJX+VJ North Perth, Western Australia, Australia",-31.9178336,115.849089
Caltex Car Wash,"Alexander Heights WA 6064, Australia ",,"5VC3+66 Alexander Heights, Western Australia, Australia",-31.8294866,115.8530519
KwiknKleen Carwash Bentley,"1145 Albany Hwy, Bentley WA 6102, Australia ",http://kwiknkleen.com.au/,"XWX9+2M Bentley, Western Australia, Australia",-32.0024777,115.9192078
Refresh Valet,"355 Scarborough Beach Rd, Osborne Park WA 6017, Australia ",https://www.refreshvalet.com/,"3RP9+FF Osborne Park, Western Australia, Australia",-31.913806,115.818653
Car Wash 24/7,"6 The Gateway, Edgewater WA 6027, Australia ",,"6QPF+F5 Edgewater, Western Australia, Australia",-31.7637611,115.7728903
Sparklers Midland Car Wash,"158 Great Eastern Hwy, Midland WA 6056, Australia ",,"424C+RM Midland, Western Australia, Australia",-31.892886,116.0216933
Perth Detailing Carstyle,"14 Hubert Rd, Maylands WA 6051, Australia ",https://mobiledetailingcarstyle.com/,"3W73+GQ Maylands, Western Australia, Australia",-31.9362027,115.9044128
Willetton Carwash,"167 High Rd, Willetton WA 6155, Australia ",http://www.coltwash.com.au/,"XV6M+6H Willetton, Western Australia, Australia",-32.0394528,115.8839745
"Silver Sponge Hand Car Wash, Perth Convention Centre","Under cover parking, Perth Convention Centre, 21 Mounts Bay Rd, Perth WA 6000, Australia ",https://silversponge.com.au/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,"2VV3+5C Perth, Western Australia, Australia",-31.9570739,115.8535272
Cars U Wash,"222 Scarborough Beach Rd, Doubleview WA 6018, Australia ",https://m.facebook.com/pages/Cars-U-Wash/147113628664733,"4Q4J+7F Doubleview, Western Australia, Australia",-31.8942997,115.7811909
Starlight Hand Car Wash,"34 Rudloc Rd, Morley WA 6062, Australia ",http://starlightservices.com.au/,"3VXX+RG Morley, Western Australia, Australia",-31.9004267,115.8987739
