Name,Address,Website,Plus-code,lat,lon
Star Car Wash - Norton Street Plaza,"Norton Plaza, 55 Norton St, Leichhardt NSW 2040, Australia ",https://www.starcarwash.com.au/centres/leichhardt/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"4575+JC Leichhardt, New South Wales, Australia",-33.8859147,151.1585587
VCare Car Wash Dulwich Hill,"473 New Canterbury Rd, Dulwich Hill NSW 2203, Australia ",https://vcarecarwash.com.au/,"34WR+HF Dulwich Hill, New South Wales, Australia",-33.9035764,151.1411908
Star Car Wash - Summer Hill,"4A Parramatta Rd, Summer Hill NSW 2130, Australia ",https://www.starcarwash.com.au/centres/summer-hill/?utm_source=Google-Local&utm_medium=organic&utm_campaign=local-seo,"446V+5J Summer Hill, New South Wales, Australia",-33.8895006,151.1440719
Metro Self Serve Carwash,"20 Smidmore St, Marrickville NSW 2204, Australia ",http://www.marrickvillemetro.com.au/,"35RC+QV Marrickville, New South Wales, Australia",-33.908086,151.1721824
Five Dock Hand Car Wash,"315 Parramatta Rd, Haberfield NSW 2045, Australia ",,"44GH+48 Haberfield, New South Wales, Australia",-33.8747024,151.1283111
White Diamond Hand Car Wash,"273-277 Parramatta Rd, Haberfield NSW 2045, Australia ",http://www.diamondwash.com.au/,,-33.8747742,151.1288807
Car Care Products Sydney,"573 Parramatta Rd, Leichhardt NSW 2040, Australia ",http://www.carcareproducts.com.au/,"4562+9G Leichhardt, New South Wales, Australia",-33.88908,151.151338
Crystal Car Wash Café,"95 Ramsay St, Haberfield NSW 2045, Australia ",https://crystalcarwash.com/locations/haberfield-nsw/,"449R+84 Haberfield, New South Wales, Australia",-33.8816557,151.1402838
Flash Hand Car Wash,"400 Princes Hwy, St Peters NSW 2044, Australia ",,"35MC+2Q St Peters, New South Wales, Australia",-33.9174798,151.1719743
Classic1 Hand Carwash Cafe,"379 Princes Hwy, Sydenham NSW 2044, Australia ",,"35MC+3J Sydenham, New South Wales, Australia",-33.9172973,151.1715489
St. Peter’s express car wash,"379 Princes Hwy, St Peters NSW 2044, Australia ",,"35MC+3H St Peters, New South Wales, Australia",-33.9173061,151.1714676
POLY WASH,"718-722 Parramatta Rd, Croydon NSW 2132, Australia ",https://www.polywash.com.au/,"44H9+FX Croydon, New South Wales, Australia",-33.8713202,151.1199643
Uncle Car Wash,"Leichhardt marketplace basement car park, Leichhardt NSW 2040, Australia ",,"448X+2F Leichhardt, New South Wales, Australia",-33.8849789,151.1486889
Wow Wash P/L.,"5 Parsons St, Rozelle NSW 2039, Australia ",http://www.wowwash.com.au/,"45MG+WJ Rozelle, New South Wales, Australia",-33.865165,151.176503
One World Hand Car Wash & Cafe,"30 Cabarita Rd, Concord NSW 2137, Australia ",https://www.oneworldcarwash.com.au/,"44X5+C9 Concord, New South Wales, Australia",-33.8514458,151.10838
Wax Car Wash,"375 Cleveland St, Redfern NSW 2016, Australia ",https://www.waxcarwash.com.au/,"4656+CF Redfern, New South Wales, Australia",-33.8914701,151.2112472
Budget Petrol,"37 Crystal St, Petersham NSW 2049, Australia ",http://www.gascorp.com.au/,"4555+QF Petersham, New South Wales, Australia",-33.8905108,151.1586346
Softwash,"25 Parramatta Rd, Haberfield NSW 2045, Australia ",,"446V+Q6 Haberfield, New South Wales, Australia",-33.8880555,151.1430151
GYEON Australia,"573 Parramatta Rd, Leichhardt NSW 2040, Australia ",http://www.gyeonquartz.com.au/,"4562+9G Leichhardt, New South Wales, Australia",-33.8890797,151.151338
Crystal Car Wash Café,"95 Ramsay St, Haberfield NSW 2045, Australia ",https://crystalcarwash.com/locations/haberfield-nsw/,"449R+84 Haberfield, New South Wales, Australia",-33.8816557,151.1402838
Goldenshine Car Wash.,"998 Botany Rd, Mascot NSW 2020, Australia ",https://goldenshine.com.au/,"359V+4F Mascot, New South Wales, Australia",-33.9321883,151.1937328
Snap Car Wash Moore Park,"2 Todman Ave, Kensington NSW 2033, Australia ",https://snapcarwash.com.au/locations/moore-park/,"36W8+G2 Kensington, New South Wales, Australia",-33.9036982,151.2151132
GOLDEN TOUCH HAND CAR WASH,"49 Queens Rd, Five Dock NSW 2046, Australia ",,"44HC+WX Five Dock, New South Wales, Australia",-33.8701364,151.1224249
House of wax Carwash and detailing,"315 Parramatta Rd, Haberfield NSW 2045, Australia ",,"44GH+3C Haberfield, New South Wales, Australia",-33.8748362,151.1285375
