Name,Address,Website,Plus-code,lat,lon
VIP HAND CAR WASH DETALING,"Entry from, 836 Pacific Hwy, McIntyre St, Gordon NSW 2072, Australia ",http://www.sydney-carwash.au/,,-33.7534591,151.1507358
Turramurra Car Wash,"1333 Pacific Hwy, Turramurra NSW 2074, Australia ",,"748G+RR Turramurra, New South Wales, Australia",-33.73298,151.127077
Star Car Wash - Gordon Centre,"802-808, Gordon NSW 2072, Australia ",https://www.starcarwash.com.au/centres/gordon/,,-33.7549288,151.1519852
Star Car Wash - St Ives,"178 Mona Vale Rd, St Ives NSW 2075, Australia ",https://www.starcarwash.com.au/centres/st-ives/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,-33.7303461,151.158948
Mint Car Wash,"320 Lane Cove Rd, North Ryde NSW 2113, Australia ",http://www.mintcarwash.com.au/,"645C+23 North Ryde, New South Wales, Australia",-33.7924046,151.1202124
DB's Detailing,"Belle Rose, unit 44 165/167 Rosedale Rd, St Ives NSW 2075, Australia ",https://dbsdetailing.com.au/,"7596+8C St Ives, New South Wales, Australia",-33.7316712,151.1610613
Car Wash,"43 Epping Rd, Macquarie Park NSW 2113, Australia ",https://www.starcarwash.com.au/centres/macquarie-centre-1,"645J+GG Macquarie Park, New South Wales, Australia",-33.7912238,151.1312653
Morgan Car Detailing,"6 James La, Waitara NSW 2077, Australia ",http://www.morgancardetailing.com.au/,"74R2+GG Waitara, New South Wales, Australia",-33.708717,151.101284
Mobile Shine Sydney,"166 Mona Vale Rd, St Ives NSW 2075, Australia ",https://www.facebook.com/profile.php?id=61559119942475,"75C5+3J St Ives, New South Wales, Australia",-33.7298085,151.1590724
Star Car Wash - Mount Colah,"Star Car Wash, 527-531 Pacific Hwy, Mount Colah NSW 2079, Australia ",https://www.starcarwash.com.au/centres/mount-colah/,"84F6+5Q Mount Colah, New South Wales, Australia",-33.6770565,151.1119941
Hydro Steam Car Wash And Spa,"246 Beecroft Rd, Epping NSW 2121, Australia ",,"63HJ+M6 Epping, New South Wales, Australia",-33.7708255,151.0805261
Snap Car Wash Chatswood Place,"260 Victoria Ave, Chatswood NSW 2067, Australia ",https://snapcarwash.com.au/,"653Q+P7 Chatswood, New South Wales, Australia",-33.7956897,151.1881824
Awash Carcare Melrose Park,"1206 Victoria Rd, Melrose Park NSW 2114, Australia ",http://www.awash.com.au/,"53VC+4R Melrose Park, New South Wales, Australia",-33.8071269,151.0720413
Blue Diamond Carwash,"400 Lane Cove Rd, Macquarie Park NSW 2113, Australia ",,"648H+6G Macquarie Park, New South Wales, Australia",-33.7844137,151.1288437
Star Car Wash - Westfield Hornsby (Orange Level Car Park),"8 Albert St, Hornsby NSW 2077, Australia ",https://www.starcarwash.com.au/centres/hornsby/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"74V2+VV Hornsby, New South Wales, Australia",-33.7052533,151.1021741
Auto Perfection Detailing,"2/95 Hunter St, Hornsby NSW 2077, Australia ",http://www.autoperfectiondetailing.com.au/,"8422+6F Hornsby, New South Wales, Australia",-33.699484,151.101184
Star Car Wash - Rhodes Waterside,"Rhodes Waterside, 1 Rider Blvd, Rhodes NSW 2138, Australia ",https://www.starcarwash.com.au/centres/rhodes/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"538M+4X Rhodes, New South Wales, Australia",-33.8347227,151.0849762
Star Car Wash - Westfield Hornsby 2 (near Fitness First),"in front of Fitness First Gym, Muriel St Westfield Hornsby (Entry Via, Muriel St, Hornsby NSW 2077, Australia ",https://starcarwash.com.au/,"74W3+F6 Hornsby, New South Wales, Australia",-33.7038621,151.1030532
Star Car Wash - Belrose Shopping Centre,"Belrose Super Centre, Shop 4/6 Niangala Cl, Belrose NSW 2085, Australia ",https://www.starcarwash.com.au/centres/belrose/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"76W7+H6 Belrose, New South Wales, Australia",-33.7035905,151.2130844
Star Car Wash - Mount Colah,"Star Car Wash, 527-531 Pacific Hwy, Mount Colah NSW 2079, Australia ",https://www.starcarwash.com.au/centres/mount-colah/,"84F6+5Q Mount Colah, New South Wales, Australia",-33.6770565,151.1119941
Car Wash,"43 Epping Rd, Macquarie Park NSW 2113, Australia ",https://www.starcarwash.com.au/centres/macquarie-centre-1,"645J+GG Macquarie Park, New South Wales, Australia",-33.7912238,151.1312653
Detail Lab - Premium Car Detailing | Paint Protection Sydney | Ceramic Coating | Paint Protection Film PPF,"Unit 28/28 Barcoo St, Roseville NSW 2069, Australia ",https://www.detaillab.com.au/?utm_source=google&utm_medium=GMB&utm_campaign=GMB,,-33.7848941,151.1961866
Morgan Car Detailing,"6 James La, Waitara NSW 2077, Australia ",http://www.morgancardetailing.com.au/,"74R2+GG Waitara, New South Wales, Australia",-33.708717,151.101284
Xtream Car Care Eastwood Steam Detailing & Car Wash,"152/160 Rowe St, Eastwood NSW 2122, Australia ",http://www.xtreamcarcare.com.au/,,-33.7921866,151.0813899
Crystal Car Wash Chatswood,"315 Victoria Ave, Chatswood NSW 2067, Australia ",http://crystalcarwash.com/,,-33.7944224,151.1882476
Star Car Wash - Macquarie Centre 2 (David Jones entry),"Macquarie Centre Cnr of Herring Rd &, Waterloo Rd, Macquarie Park NSW 2113, Australia ",https://www.starcarwash.com.au/centres/macquarie-centre-2/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,-33.7767187,151.1205172
Awash Carcare & Cafe,"459 Victoria Rd, Gladesville NSW 2111, Australia ",http://www.awash.com.au/,"54HC+2W Gladesville, New South Wales, Australia",-33.8224733,151.1222667
