Name,Address,Website,Plus-code,lat,lon
Concierge Car Wash - Broadway Shopping Centre,"1 Bay St, Broadway NSW 2007, Australia ",https://www.conciergecarwash.com.au/,"458V+QM Glebe, New South Wales, Australia",-33.8830279,151.1941862
Eco Steam Wash,"1 Barangaroo Ave, Barangaroo NSW 2000, Australia ",http://ecosteamwash.com.au/,"46P2+XF Barangaroo, New South Wales, Australia",-33.8625568,151.2012023
Platinum Car Wash and Detailing Services,"2 Quay St, Haymarket NSW 2000, Australia ",,"4693+W7 Haymarket, New South Wales, Australia",-33.8801676,151.2032232
Gold Car Wash & Cafe,"44 O'Riordan St, Alexandria NSW 2015, Australia ",http://www.goldcarwashcafe.com.au/,"35QX+83 Alexandria, New South Wales, Australia",-33.9117478,151.1977002
Fine Shine,"2/4 Defries Ave, Zetland NSW 2017, Australia ",http://www.fineshine.com.au/,"36V7+V5 Zetland, New South Wales, Australia",-33.905273,151.2129307
Star Car Wash - Sydney QVB,"QVB, 455 George St, Sydney NSW 2000, Australia ",https://www.starcarwash.com.au/centres/qvb-cbd/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"46H4+5M Sydney, New South Wales, Australia",-33.8721139,151.206738
World Square Xtream Hand Car Wash & Detailing,"World Square Shopping Centre, Car Park, Level P6/644 George St, Sydney NSW 2000, Australia ",https://www.xtreamcarwash.com.au/,"46C4+VC Sydney, New South Wales, Australia",-33.8777691,151.2060571
WoW detailing studio,"2 Watermans Quay, Barangaroo NSW 2000, Australia ",https://wowdetailing.com.au/,"46P2+RR Barangaroo, New South Wales, Australia",-33.8629486,151.2021122
VCare Car Wash Dulwich Hill,"473 New Canterbury Rd, Dulwich Hill NSW 2203, Australia ",https://vcarecarwash.com.au/,"34WR+HF Dulwich Hill, New South Wales, Australia",-33.9035764,151.1411908
OK mobile car wash and detailing,"2000, Sydney NSW 2000, Australia ",,"46H4+MW Sydney, New South Wales, Australia",-33.8708464,151.20733
Platinum Carwash & Detailing Services - Darling Park,"201 Sussex St, Sydney NSW 2000, Australia ",,"46H3+5H Sydney, New South Wales, Australia",-33.8720761,151.2038774
WOW Wash Mobile Car Wash & Detailing,"15 Blue St, North Sydney NSW 2060, Australia ",http://wowwashmobilecardetailing.com.au/,"5654+FX North Sydney, New South Wales, Australia",-33.8412663,151.207498
Pros Mobile Mechanic Sydney Carwash,"Glebe NSW 2037, Australia ",,"458V+FH Glebe, New South Wales, Australia",-33.8837862,151.1938764
White Diamond Hand Car Wash,"273-277 Parramatta Rd, Haberfield NSW 2045, Australia ",http://www.diamondwash.com.au/,"44GH+3H Haberfield, New South Wales, Australia",-33.8747742,151.1288807
Jim’s Car Cleaning,"Citigroup Centre, Level 13, 2 Park St, Sydney NSW 2000, Australia ",http://jimscardetailing.sydney/,"46G5+W3 Sydney, New South Wales, Australia",-33.8726651,151.2076409
Precision detailing sydney,"123 Pitt St, Sydney NSW 2000, Australia ",,"46M5+89 Sydney, New South Wales, Australia",-33.8666763,151.2083773
Flash Hand Car Wash,"400 Princes Hwy, St Peters NSW 2044, Australia ",,"35MC+2Q St Peters, New South Wales, Australia",-33.9174798,151.1719743
St. Peter’s express car wash,"379 Princes Hwy, St Peters NSW 2044, Australia ",,"35MC+3H St Peters, New South Wales, Australia",-33.9173061,151.1714676
Billy's Carwash & Cafe,"69-71 Belmore Rd North, Punchbowl NSW 2196, Australia ",https://billyscarwashcafe.au/,"3373+2W Punchbowl, New South Wales, Australia",-33.9373931,151.0548706
Fast Sale Car Detailing Sydney,"Suite 3, Level 27 Governor Macquarie Tower, 1 Farrer Pl, Sydney NSW 2000, Australia ",https://www.fastsaledetailing.com.au/,"46P6+8G Sydney, New South Wales, Australia",-33.8641591,151.2113333
WoW detailing studio,"2 Watermans Quay, Barangaroo NSW 2000, Australia ",https://wowdetailing.com.au/,"46P2+RR Barangaroo, New South Wales, Australia",-33.8629486,151.2021122
VCare Car Wash Dulwich Hill,"473 New Canterbury Rd, Dulwich Hill NSW 2203, Australia ",https://vcarecarwash.com.au/,"34WR+HF Dulwich Hill, New South Wales, Australia",-33.9035764,151.1411908
Wow Wash P/L.,"5 Parsons St, Rozelle NSW 2039, Australia ",http://www.wowwash.com.au/,"45MG+WJ Rozelle, New South Wales, Australia",-33.865165,151.176503
RY carwash,"941 Bourke St, Waterloo NSW 2017, Australia ",,"36X5+89 Waterloo, New South Wales, Australia",-33.9016907,151.2084321
Car Wash,"Neutral Bay NSW 2089, Australia ",,"56C8+8J Neutral Bay, New South Wales, Australia",-33.8292001,151.2165529
Classic1 Hand Carwash Cafe,"379 Princes Hwy, Sydenham NSW 2044, Australia ",,"35MC+3J Sydenham, New South Wales, Australia",-33.9172973,151.1715489
Unique Carwash-Artarmon,"CP, Artarmon Home HQ, 1/1 Frederick St, Artarmon NSW 2064, Australia ",,"55MQ+5G Artarmon, New South Wales, Australia",-33.8170454,151.1888301
Sydney mobile car wash,"394-396 Oxford St, Paddington NSW 2021, Australia ",https://sydney-mobile-car-wash.yolasite.com/,"467J+66 Paddington, New South Wales, Australia",-33.8869256,151.2305308
Wax Car Wash,"375 Cleveland St, Redfern NSW 2016, Australia ",https://www.waxcarwash.com.au/,"4656+CF Redfern, New South Wales, Australia",-33.8914701,151.2112472
Goat Detailer,"11/13-15 Burrows Rd S, St Peters NSW 2044, Australia ",http://www.goatdetailer.com.au/,"35HG+CV St Peters, New South Wales, Australia",-33.9214029,151.1771355
Star Car Wash - Entertainment Quarter,"Star Car Wash, Entertainment Quarter, 116/122 Lang Rd, Moore Park NSW 2021, Australia ",https://www.starcarwash.com.au/centres/entertainment-quarter-2/?utm_source=google&utm_medium=organic&utm_campaign=gmb-appt,"463G+W4 Moore Park, New South Wales, Australia",-33.8952187,151.2253479
Car Care Products Sydney,"573 Parramatta Rd, Leichhardt NSW 2040, Australia ",http://www.carcareproducts.com.au/,"4562+9G Leichhardt, New South Wales, Australia",-33.88908,151.151338
White Diamond Hand Car Wash,"273-277 Parramatta Rd, Haberfield NSW 2045, Australia ",http://www.diamondwash.com.au/,"44GH+3H Haberfield, New South Wales, Australia",-33.8747742,151.1288807
Fine Shine Ceramic Coating,"Shop T66 2, 4 Defries Ave, Zetland NSW 2017, Australia ",https://ceramiccoating.sydney/,"36V7+V6 Zetland, New South Wales, Australia",-33.9052704,151.2130888
Crystal Car Wash Edgecliff,"67 New South Head Rd, Edgecliff NSW 2021, Australia ",http://www.crystalcarwash.com/,"46FJ+6G Edgecliff, New South Wales, Australia",-33.8769513,151.2312987
Gil’s Mobile Detailing,"14 Bellevue St, Surry Hills NSW 2010, Australia ",http://gilsmobiledetailing.com.au/,"4686+GP Surry Hills, New South Wales, Australia",-33.8836998,151.2117567
Star Car Wash - Headquarter Office,"Unit 43/34 – 36 Ralph St, Alexandria NSW 2015, Australia ",https://www.starcarwash.com.au/,"35JW+GV Alexandria, New South Wales, Australia",-33.9186866,151.1972141
Rainbow Hand Car Wash & Cafe Drummoyne,"120 Victoria Rd, Drummoyne NSW 2047, Australia ",http://rainbowcarwashcafe.com/,"45W4+JR Drummoyne, New South Wales, Australia",-33.8533764,151.1571127
Diamond Detailing Division,"22/168-180 Victoria Rd, Marrickville NSW 2204, Australia ",https://www.diamonddetailingdivision.com.au/,"35R7+GG Marrickville, New South Wales, Australia",-33.9086572,151.163775
Star Car Wash - Summer Hill,"4A Parramatta Rd, Summer Hill NSW 2130, Australia ",https://www.starcarwash.com.au/centres/summer-hill/?utm_source=Google-Local&utm_medium=organic&utm_campaign=local-seo,"446V+5J Summer Hill, New South Wales, Australia",-33.8895006,151.1440719
