Name,Address,Website,Plus-code,lat,lon
Avoca Street Carwash,"107 Avoca St, Randwick NSW 2031, Australia ",https://avocastreetcarwash.com.au/,"36QV+6C Randwick, New South Wales, Australia",-33.9118993,151.2435329
Shop & Wash Randwick,"Level B2, Royal Randwick Shopping Centre, 73-115 Belmore Rd, Randwick NSW 2031, Australia ",http://www.carwashfinder.com.au/carwash/new-south-wales/eastern-sydney/down-under-car-wash,"36PR+3H Randwick, New South Wales, Australia",-33.9147919,151.2414797
Bp Randwick car wash,"8/10 Perouse Rd, Randwick NSW 2031, Australia ",https://www.bp.com/en_au/australia/home/who-we-are/find-your-nearest-bp.html,"36JR+CV Randwick, New South Wales, Australia",-33.9189379,151.2422252
Fine Shine,"2/4 Defries Ave, Zetland NSW 2017, Australia ",http://www.fineshine.com.au/,"36V7+V5 Zetland, New South Wales, Australia",-33.905273,151.2129307
Crystal Car Wash Coogee,"6 Bream St, Coogee NSW 2034, Australia ",http://crystalcarwash.com/,"36MX+5H Coogee, New South Wales, Australia",-33.917124,151.2489779
Randwick Auto Artisans,"Shop 5 Level 1/68 Frenchmans Rd, Randwick NSW 2031, Australia ",https://www.randwickautoartisans.com.au/,"36VX+3V Randwick, New South Wales, Australia",-33.9073214,151.2496791
Crystal Car Wash Kingsford,"417 Anzac Parade, Kingsford NSW 2032, Australia ",http://crystalcarwash.com/,"36FH+JW Kingsford, New South Wales, Australia",-33.9259228,151.2297537
Snap Car Wash Moore Park,"2 Todman Ave, Kensington NSW 2033, Australia ",https://snapcarwash.com.au/locations/moore-park/,"36W8+G2 Kensington, New South Wales, Australia",-33.9036982,151.2151132
Gem Premium Hand Car Wash Waterloo,"Meriton Retail Precinct, Parking Level 1, Crescent St, Waterloo NSW 2017, Australia ",https://gempremiumhandcarwash.com.au/,"4627+WM Waterloo, New South Wales, Australia",-33.89764,151.2141467
Vinces Car Detailing,"104 Garden St, Maroubra NSW 2035, Australia ",http://vincescardetailing.au/,"366R+2P Maroubra, New South Wales, Australia",-33.9399054,151.241833
Randwick Petroleum,"88 Clovelly Rd, Randwick NSW 2031, Australia ",,"36RX+8F Randwick, New South Wales, Australia",-33.9091451,151.2486566
Star Car Wash - Westfield Bondi Junction P4,"Westfield Bondi Junction Shopping Centre,Level P4, Grafton St, Bondi Junction NSW 2022, Australia ",https://www.starcarwash.com.au/centres/bondi-junction-p4/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,-33.8915695,151.2505012
Star Car Wash - Maroubra Pacific Square,"Car Park, Level B2/737 Anzac Parade, Maroubra NSW 2035, Australia ",https://www.starcarwash.com.au/centres/maroubra-pacific-square/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"365Q+M9 Maroubra, New South Wales, Australia",-33.9408371,151.2384203
Hansen,"31 Arthur St, Randwick NSW 2031, Australia ",,"36MQ+X7 Randwick, New South Wales, Australia",-33.9151106,151.2382055
