Name,Address,Website,Plus-code,lat,lon
Star Car Wash - Eastern Creek Quarter,"Quarter Shopping Centre, 159 Rooty Hill Rd S, Eastern Creek NSW 2766, Australia ",https://www.starcarwash.com.au/centres/eastern-creek/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"6V83+C9 Eastern Creek, New South Wales, Australia",-33.7839656,150.8534985
RR Car Wash,"Westfield, Luxford Rd, Mount Druitt NSW 2770, Australia ",https://www.rrcarwash.com.au/,"6RMC+P3 Mount Druitt, New South Wales, Australia",-33.765718,150.8201539
Quick quack carwash,"10-12 Luxford Rd, Mount Druitt NSW 2770, Australia ",,"6RPF+3W Mount Druitt, New South Wales, Australia",-33.7647848,150.824855
"Dr Car Care, Mobile Automotive Detailing Car Wash To You","Wren Terrace, Plumpton NSW 2761, Australia ",,"6RWQ+QM Plumpton, New South Wales, Australia",-33.7530286,150.8392429
Star Car Wash - Westfield Mount Druitt,"Westfield Mount Druitt, level 1 Woolworths Car Park Carlisle Ave &, Luxford Rd, Mount Druitt NSW 2770, Australia ",https://www.starcarwash.com.au/centres/mount-druitt/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"6RJ9+RC Mount Druitt, New South Wales, Australia",-33.7679499,150.8185932
IMO Car Wash,"Cnr Carlisle Ave, Kurrajong Ave, Mount Druitt NSW 2750, Australia ",https://www.imocarwash.com/au/car-washes/mt-druitt-new-south-wales/mt-druitt-car-wash/?y_source=1_MTIyNzE3NDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"6RM9+C2 Mount Druitt, New South Wales, Australia",-33.766395,150.817507
Sam’s hand Carwash,"591 Carlisle Ave, Minchinbury NSW 2770, Australia ",,"6R98+83 Minchinbury, New South Wales, Australia",-33.7816724,150.8151253
Star Car Wash - Plumpton Marketplace,"Plumpton Marketplace, 260 Jersey Rd, Plumpton NSW 2761, Australia ",https://www.starcarwash.com.au/centres/plumpton/,"7R3P+J7 Plumpton, New South Wales, Australia",-33.7459827,150.8357299
Excel Car Wash,"Unit 42/34-40 Sterling Rd, Minchinbury NSW 2770, Australia ",,"6R99+G3 Minchinbury, New South Wales, Australia",-33.7812119,150.8176953
DAS AUTO | Car Window Tinting | Ceramic Coating | Detailing,"47 Minchinbury St, Eastern Creek NSW 2766, Australia ",https://dasauto.com.au/,"6R8W+6X Eastern Creek, New South Wales, Australia",-33.7844065,150.8474434
