Name,Address,Website,Plus-code,lat,lon
Star Car Wash - Rouse Hill Town Centre,"Centre, 10 - 14 Market Ln, Rouse Hill NSW 2155, Australia ",https://www.starcarwash.com.au/centres/rouse-hill/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"8W5F+VG Rouse Hill, New South Wales, Australia",-33.6902787,150.9238577
Expresso Carwash Orange Carpark,"10-14 Market Ln, Rouse Hill NSW 2155, Australia ",https://www.facebook.com/share/15vDuG4hYR/?mibextid=wwXIfr,"8W6G+44 Rouse Hill, New South Wales, Australia",-33.6897368,150.9253263
The Washouse,"1 Resolution Pl, Rouse Hill NSW 2155, Australia ",https://thewashouse.com.au/,"8W89+5F Rouse Hill, New South Wales, Australia",-33.6845571,150.9187002
Coles Express Car Wash,"16 Adelphi St, Rouse Hill NSW 2155, Australia ",,"8W88+RJ Rouse Hill, New South Wales, Australia",-33.6829182,150.9165241
VIP Car Detailing,"100 Adelphi St, Rouse Hill NSW 2155, Australia ",http://www.vipcarcare.com.au/,"8WG9+3P Rouse Hill, New South Wales, Australia",-33.674815,150.919305
"Fancy Car Auto Detailing - Car Detailing, Ceramic Coating, Detailers","16 Hyatt Cl, Rouse Hill NSW 2155, Australia ",https://www.facebook.com/FancyCarDetailing/,"8WGJ+RC Rouse Hill, New South Wales, Australia",-33.672997,150.931075
Shine on Car Wash,"46 Withers Rd, North Kellyville NSW 2155, Australia ",https://shineoncarwash.com.au/,"8X72+QR North Kellyville, New South Wales, Australia",-33.685612,150.9520104
Star Car Wash - The Ponds Shopping Centre,"The Ponds Shopping Centre, Riverbank Dr, The Ponds NSW 2769, Australia ",https://www.starcarwash.com.au/centres/the-ponds/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"7WV6+QG The Ponds, New South Wales, Australia",-33.7055967,150.9112556
CARSPA Autowash Cafe,"2/1190 Old Windsor Rd, Parklea NSW 2768, Australia ",http://www.carspa.com.au/,"7WGQ+5J Parklea, New South Wales, Australia",-33.7245828,150.9390951
Shell,"43 Panmure Street, Windsor Rd, Rouse Hill NSW 2155, Australia ",https://find.shell.com/au/fuel/10110946-shell-reddy-express-rouse-hill/en_AU,"8W88+VG Rouse Hill, New South Wales, Australia",-33.6827508,150.9163366
