Name,Address,Website,Plus-code,lat,lon
Top Gear Car Wash Cafe,"155 Prospect Hwy, Seven Hills NSW 2147, Australia ",https://www.topgearcarwashcafe.com.au/,"6WJR+7X Seven Hills, New South Wales, Australia",-33.7693393,150.9424893
Shining hand car wash,"Federal Rd, Seven Hills NSW 2147, Australia ",,"6WFJ+Q7 Seven Hills, New South Wales, Australia",-33.7755889,150.9306783
Precision Mobile Car Care,"60 Lavinia St, Seven Hills NSW 2147, Australia ",https://precisionmobilecarcare.com/,"6W6P+4W Seven Hills, New South Wales, Australia",-33.7896251,150.937302
Shining Hand Car Wash,"Opposite/32 Stoddart Rd, Prospect NSW 2148, Australia ",,"5WX9+QC Prospect, New South Wales, Australia",-33.8005504,150.9185343
Maxi Shine Car & Dog Wash,"370 Vardys Rd, Kings Park NSW 2148, Australia ",http://maxishine.com.au/,"7W33+XH Kings Park, New South Wales, Australia",-33.7450981,150.9039154
Triple A Hand Carwash,"18 Solander Rd, Kings Langley NSW 2147, Australia ",,"6WVV+MF Kings Langley, New South Wales, Australia",-33.7558314,150.9436431
Best & Bright Hand Carwash,"14 St Martins Cres, Blacktown NSW 2148, Australia ",,"6W9C+C2 Blacktown, New South Wales, Australia",-33.7813938,150.9200305
JS Car wash and Premium Detailing,"and, Portico Plaza Shop Ground Floor Parking, 17-19 Aurelia Street Located in: Portico Plaza Shopping Centre Car park entrance Cornelia RD, Junia Ave, Toongabbie NSW 2146, Australia ",https://www.jscarwashtoongabbie.com.au/,"6W7X+2X Toongabbie, New South Wales, Australia",-33.7873875,150.9499533
The Detailing Nerd,"Unit 13/13 Brumby St, Seven Hills NSW 2147, Australia ",https://thedetailingnerd.com.au/,"6WJW+7X Seven Hills, New South Wales, Australia",-33.7692558,150.947431
ABC Hand Car Wash and Car Detailing Blacktown,"5/148 Sunnyholt Rd, Blacktown NSW 2148, Australia ",https://www.facebook.com/abccarwashblacktown/,"6WW7+RW Blacktown, New South Wales, Australia",-33.7529387,150.914806
Creative Car Care Professional Car Detailing,"Rear of/80 Sunnyholt Rd, Blacktown NSW 2148, Australia ",https://creativecarcare.com.au/,"6WR7+38 Blacktown, New South Wales, Australia",-33.7597993,150.9132625
AS Car Wash & Detailing Pty Ltd,"22 Oramzi Rd, Girraween NSW 2145, Australia ",,"6W3R+RP Girraween, New South Wales, Australia",-33.7953868,150.9418303
Supreme Hand Car Wash Blacktown NSW,"90 Blacktown Rd, Blacktown NSW 2148, Australia ",,"6WCC+93 Blacktown, New South Wales, Australia",-33.7791,150.9201555
Fleetwash,"6/6 Stanton Rd, Seven Hills NSW 2147, Australia ",http://www.fleetwash.com.au/,"6XH2+W2 Seven Hills, New South Wales, Australia",-33.7701322,150.9501234
Reddy Express Auto & Self Serve Care Wash,"132/136 Sunnyholt Rd, Blacktown NSW 2148, Australia ",,"6WW7+9X Blacktown, New South Wales, Australia",-33.7540301,150.9149037
Snap Car Wash Winston Hills,"Under Cover Car Park, Entry Via, Caroline Chisholm Dr, Winston Hills NSW 2153, Australia ",https://snapcarwash.com.au/,"6XG9+QR Winston Hills, New South Wales, Australia",-33.7730001,150.9695099
Concierge Car Wash Stockland Baulkham Hills,"375-383 Windsor Rd, Baulkham Hills NSW 2153, Australia ",https://conciergecarwash.com.au/,"6XRR+86 Baulkham Hills, New South Wales, Australia",-33.7592367,150.9905493
Creative Car Care Professional Car Detailing,"Rear of/80 Sunnyholt Rd, Blacktown NSW 2148, Australia ",https://creativecarcare.com.au/,"6WR7+38 Blacktown, New South Wales, Australia",-33.7597993,150.9132625
Clean Car Culture,"56/4 Hoyle Ave, Castle Hill NSW 2155, Australia ",,"7X9M+24 Castle Hill, New South Wales, Australia",-33.7324908,150.982825
Hills Hand AutoSpa & Detailing,"Shop cp1, 18 Victoria Ave, Castle Hill NSW 2154, Australia ",,"7XFG+6G Castle Hill, New South Wales, Australia",-33.7269501,150.9763282
AS Car Wash & Detailing Pty Ltd,"22 Oramzi Rd, Girraween NSW 2145, Australia ",,"6W3R+RP Girraween, New South Wales, Australia",-33.7953868,150.9418303
Royal Auto Detailing,"Ferndale Cl, Constitution Hill NSW 2145, Australia ",https://www.royalautosdetailing.com/,"6X3H+W7 Constitution Hill, New South Wales, Australia",-33.7951714,150.9781572
car wash,"3 Turbo Rd, Kings Park NSW 2148, Australia ",,"7W33+XG Kings Park, New South Wales, Australia",-33.7450311,150.9037711
Cryz Cars - Car Wash & Detailing Center,"77C Bridge Rd, Westmead NSW 2145, Australia ",,"5XQJ+V5 Westmead, New South Wales, Australia",-33.8103083,150.980495
Reddy Express Auto & Self Serve Care Wash,"132/136 Sunnyholt Rd, Blacktown NSW 2148, Australia ",,"6WW7+9X Blacktown, New South Wales, Australia",-33.7540301,150.9149037
Supreme Hand Car Wash Blacktown NSW,"90 Blacktown Rd, Blacktown NSW 2148, Australia ",,"6WCC+93 Blacktown, New South Wales, Australia",-33.7791,150.9201555
