Name,Address,Website,Plus-code,lat,lon
Wax Car Wash,"375 Cleveland St, Redfern NSW 2016, Australia ",https://www.waxcarwash.com.au/,"4656+CF Redfern, New South Wales, Australia",-33.8914701,151.2112472
Gem Premium Hand Car Wash Waterloo,"Meriton Retail Precinct, Parking Level 1, Crescent St, Waterloo NSW 2017, Australia ",https://gempremiumhandcarwash.com.au/,"4627+WM Waterloo, New South Wales, Australia",-33.89764,151.2141467
Gil’s Mobile Detailing,"14 Bellevue St, Surry Hills NSW 2010, Australia ",http://gilsmobiledetailing.com.au/,"4686+GP Surry Hills, New South Wales, Australia",-33.8836998,151.2117567
Fine Shine,"2/4 Defries Ave, Zetland NSW 2017, Australia ",http://www.fineshine.com.au/,"36V7+V5 Zetland, New South Wales, Australia",-33.905273,151.2129307
Gold Car Wash & Cafe,"44 O'Riordan St, Alexandria NSW 2015, Australia ",http://www.goldcarwashcafe.com.au/,"35QX+83 Alexandria, New South Wales, Australia",-33.9117478,151.1977002
We Wash 'em,"10 Hay St, Haymarket NSW 2000, Australia ",,"46C2+CJ Haymarket, New South Wales, Australia",-33.8789912,151.2015044
Platinum Car Wash and Detailing Services,"2 Quay St, Haymarket NSW 2000, Australia ",,"4693+W7 Haymarket, New South Wales, Australia",-33.8801676,151.2032232
World Square Xtream Hand Car Wash & Detailing,"World Square Shopping Centre, Car Park, Level P6/644 George St, Sydney NSW 2000, Australia ",https://www.xtreamcarwash.com.au/,,-33.8777691,151.2060571
Rinsed,"15 Belvoir St, Surry Hills NSW 2010, Australia ",,"4664+FX Surry Hills, New South Wales, Australia",-33.888873,151.2073792
Crystal Car Wash Edgecliff,"67 New South Head Rd, Edgecliff NSW 2021, Australia ",http://www.crystalcarwash.com/,"46FJ+6G Edgecliff, New South Wales, Australia",-33.8769513,151.2312987
VCare Car Wash Dulwich Hill,"473 New Canterbury Rd, Dulwich Hill NSW 2203, Australia ",https://vcarecarwash.com.au/,"34WR+HF Dulwich Hill, New South Wales, Australia",-33.9035764,151.1411908
Star Car Wash - Entertainment Quarter,"Star Car Wash, Entertainment Quarter, 116/122 Lang Rd, Moore Park NSW 2021, Australia ",https://www.starcarwash.com.au/centres/entertainment-quarter-2/?utm_source=google&utm_medium=organic&utm_campaign=gmb-appt,"463G+W4 Moore Park, New South Wales, Australia",-33.8952187,151.2253479
